Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección|Edición|Tomo|Tema|Imprenta|Palabras Clave|Referencias
A. Pardo||Los 30 menus del mes |México|Herrero Hermanos Sucs|1943|255|5.5x7.5 pulg||Sexta||Cocina|A. Mijares y Hno.|Sopas, huevos, pescados, guisado, aves, caza, carne, asados, verduras, ensaladas, antojitos, postres|Manual de la Cocina casera exclusivamente para la republica mexicana
Álvarez L. Luis||Pastelería y repostería Moderna|México||1940|96|4x6 pulg||Segunda||Cocina||Galletas, rosquitas, besos, palitos, polvorones, pellizcos, soletas, merengues, muffins, empanadas, panqué, pastel, panes, bizcochos, tortas, budines, flanes, asados, |Selección de recetas fáciles y económicas
Azcué y Mancera Luis||Monografía El Chocolate|México||1958|50|14x20 cm||||Cocina||Chocolate, cacao, vainilla|Monografía origen del sabor mexicano del sabroso, nutritivo y mexicanísimo chocolate.
APAC Asociación Pro Personas con Parálisis Cerebral||Recetas y secretos para compartir|México||1997|322|6.5x8.5 pulg||Segunda||Cocina|Offset Santiago, S.A.|Entremeses, entradas, sopas, pastas, arroz, verduras, salsas, carnes, aves, pescados y mariscos, pasteles, pays y galletas, postres, medidas, equivalencias y conversiones, hierbas y especias, consejos útiles, vocabulario de términos gastronómicos|En este libro un grupo de voluntarias de APAC nos comparten algunos de sus secretos para hacer de cada receta y de cada comida una combinación fabulosa de sabores, colores, ingredientes e ingenio.
Barreto Leonor y Maria de la Madrid||Libro completo de cocina|Guadalajara, Jalisco||1949|565|6.5x9 pulg||Segunda||Cocina|Talleres linotipográficos grafica |Desayunos, comidas, pasteles, huevos, mariscos, entradas, serie de aves, carnes, serie de salsas, verduras, ensaladas, antojitos y platillos regionales, atoles, antojitos provincianos, dulces, dulcecitos y bombones, gelatinas, ponches y bebidas, vinos, refrescos, helados, sandwiches, ensaladas para el té, panecitos, panques y tortas, tortas de panques, pan de levadura, masas finas con rebaje, rebajes, salchichoneria, tocineria y carnes en frio|Variedades de cocktailes, ponches,  bebidas, etc; maneras de servir y adornar la mesa; arreglar banquetes, ambigús, desayunos; para saber elegir, acertadamente todos los ingredientes necesarios para la buena preparación de recetas y para agradable presentación de los menús, asi como tambien levaduras para las distintas clases de panes. Calcular con precisión las cantidades que se emplean en los platillos y al mismo tiempo las que consumen las personas.
Berolzhimer Ruth / Ramírez Carmen ||Que comeremos hoy? Recetas para cocimiento a presión|México|AESA|1950|188|6x7.5 pulg||Primera||Cocina|Rocabruna|Sopas, carnes, aves de corral y caza, budines, tamales, pescados, mariscos, salsas, rellenos, estofados, legumbres, arroz, cereales, macarrones, tallarines, frutas secas, frutas frescas, postres, pasteles, panes, congelados, conservas, alimentación infantil, formulas para Lactantes, preparación, esterilización, molde|Están incluidas recetas para cada comida del día, desde cereales hasta legumbres, desde carnes, pescados y aves hasta sopas y salsas, desde postres y pasteles hasta la preparación y esterilización de alimentos para bebés.
Bimbo||47 Maneras para hacer sandwiches con pan bimbo|México||||6.5X4 pulg|Bimbo|||Cocina||Sandwitch, torrejas, canapes, banderillas, |El nacimiento del sandwitch se debe al ingenio de un noble inglés, los mas sencillos consisten en rebanadas de jamón, queso, pollo, pavo o carnes frias, colocadas entre dos rebanadas de super pan bimbo, untadas con mantequilla y mostaza, a continuación damos recetas de sandwiches un poco más complicados algunos de los cuales son verdaderos platillos .
Caceroleta Magica||Recetario Caceroleta Magica|México|Amigos del Hogar S.A.|||6.5x4.5 pulg||||Cocina||Postres, pastel, asado, pollo, carne, torta, elotes, sopa, arroz, tamales, caldo, estofado, pozole,   |Recetario para que la ama de casa pueda preparar mediante su propia experiencia infinidad de recetas de cocina con la caceroleta magica que sirve absolutamente para todo lo que se quiera cocinar, freir u hornear en ella.
Calleja Teresa / Sesto Gloria||La cocinera poblana|México||1950|246|4.5x7 pulg||||Cocina|El libro Español |cocteles, refrescos, entremeses, sopas, pescados, carnes, pollos, verduras, antojitos, pasteles, papas, huevos, ensaladas, salsas|Presentamos, además de la cocina poblana, platillos españoles, y otros países, algo de repostería y pastelería, todo ello seleccionado y efectivo.
Castañeda Esther||Cocina y repostería|México||1938|153|6.5x9 pulg||||Cocina|Imprenta Londres |Cocktails, consomes, sopas, huevos, carnes, pescados, aves, aspic, pures, salsas, ensaladas, budines, recetas varias, dulces, tortas y pasteles, jaletinas, decorado de pasteles|Moderno manual con las fórmulas más experimentadas                                     Como debe tenerse una cocina higienica, especies y aromaticos, manera de conocer las carnes, clarificación del caldo, manera de conocer el pescado, manera de conocer un pavo joven, manera de matar un pavo, manera de partir el pavo, manera de escoger un pato, manera de cocer las verduras.
