Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Szekely|Miguel|Iván Restrepo|Frontera agrícola y colonización|||Primera|||México|Centro de Ecodesarrollo|||1988|200 pp.||
Restrepo  Fernández|Iván||Costa grande de Guerrero estudio socio-económico|||Primera|||México|Ivan Restrepo Fernández|||1975|220 pp.|Fts - Cuad|
|Instituto Mexicano del Café||México y el III convenio internacional de café|||Primera|||México|Instituto Mexicano del Café|||1976|88 pp.|Fts|
I. M |Lewis||History and social anthropology|||Primera|||Edinburgo|Association of Social Antropologists od the Commonwealth|||1968|307 pp.|Mps|
Santana Cardoso|Ciro Flamarion||Sobre los modos de producción coloniales de América|||Primera|||X|Fotocopias|||X|82 pp.||
Kaplan|David|Robert A. Manners|Introducción crítica a la teoría antropológica|||Primera||Trad. por Marcos Arana|México|Nueva Imagen|||1979|341 pp.|Cuad|
Salama|Pierre|Jacques Valier|Una introducción a la economía política|||Primera||Trad. por Ana María Palos|México|Ediciones Era|||1976|246 pp.|Cuad|
Gall |Olivia||Chiapas: sociedad, economía, interculturalidad y política|||Primera|||México|Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades/Universidad Nacional Autónoma de México|||2001|323 pp.|Cuad - Mps|
Gil|Martha Cecilia||Max Weber|||Primera|||México|Editorial Edicol|Sociologica Pensadores|14|1978|250 pp.||
Marx|Karla|Friedrich Engels|Sobre el colonialismo|||Primera|||Argentina|Ediciones Pasado y Presente|Cuadernos de Pasado y Presente |37|1973|346 pp.||
Jacobs|Melville|Bernhard J. Stern|An outline of general anthropology|||Primera|||EUA|Barnes & Noble Inc.|||1947|332 pp.||
|Secretaría de Industria y Comercio||La frontera norte diagnóstico y perspectivas|||Primera|||México|Secretaria de Industria y Comercio|||1975|150 pp.|Cuad - Mps|
Enríquez Hernández|Jorge||Análisis geoeconómico del sistema regional de la sierra tarahumara|||Primera|||México|Universidad Nacional Autónoma de México|||1988|200 pp.|Cuad - Mps|
Le Riverend|Julio||Historia económica de Cuba|||Primera|||Cuba|Ministerio de Educación|||1974|662 pp.|Fts|
Mansfield|Edwin||The economics of technological change |||Primera|||EUA|W. W. Norton and Company|||1968|257 pp.|Cuad|
Rodriguez|Mariángela||Entre el sol y la luna etnohistoria de los mayos|||Primera|||México|Dirección General de Culturas Populares/Premià Editora|||1986|95 pp.|Ilus - Fts - Cuad|
Rawson|R. R.||The monsoon lands of Asia|||Primera|||Reino Unido|R. R. Rawson|||1963|255 pp.|Ilus - Fts - Cuad - Mps|
Blaug|Mark||La metodología de la economía|||Primera|||España|Mark Blaug/Alianza Universidad|||1985|326 pp.||
Godelier|Maurice||Racionalidad e irracionalidad en la economía |||Primera|||México|Siglo XXI Editores|||1967|313 pp.|Cuad|
Aldana Martínez|Jorge||Azúcar, mineria: los primeros ferrocarriles en Cuba (1837-1937)|||Primera|||Cuba|Jorge Alberto Aldana Martinez/Editorial Oriente|||1979|183 pp.|Fts - Cuad|
Read|Herbert||Arte y sociedad|||Primera||Trad. por Manuel Carbonell|España|Herbert Read|Ediciones de Bolsillo|4|1970|215 pp.||
Furtado|Celso||Prefacio a una nueva economía política|||Primera|||México|Siglo XXI Editores|Económia y demografía||1978|197 pp.||
Polanyi|Karl|George Dalton|Primitive, archaic and modern economies  essays of Karl Polanyi|||Primera|||EUA|The Hutchinson Publishing Group|||1969|346 pp.|Fts|
VV.AA.|||United fruit company: Un caso del dominio imperialista en Cuba|||Primera|||Cuba|Instituto Cubano del Libro|||1976|450 pp.|Fts - Cuad - Mps|
Pineda|Miguel||El capital en el agro: el caso del sudoeste del estado de México|||Primera|||México|Centro de Investigaciones Superiores del INAH|Los Cuadernos de la Casa Chata|33|1980|78 pp.|Cuad - Mps|
Pérez|Marisol|Carmen Bueno et. al.|Simposio sobre empresarios en México volumen III; Empresarios mexicanos y norteamericanos, y la penetración de capital extranjero (siglo XX)|||Primera|||México|Centro de Investigaciones Superiores del INAH|Los Cuadernos de la Casa Chata|23|1979|136 pp.|Cuad|
Beato|Guillermo|Guillermo de la Peña et. al.|Simposio sobre empresarios en México volumen II:Intermediación. Fracciones étnicas de clase. Contextualización regional|||Primera|||México|Centro de Investigaciones Superiores del INAH|Los Cuadernos de la Casa Chata|22|1979|101 pp.||
Artís|Gloria|Virginia García et. al.|Simposio sobre empresarios en México volumen I: Empresarios españoles y alemanes (siglos XVIII y XIX)|||Primera|||México|Centro de Investigaciones Superiores del INAH|Los Cuadernos de la Casa Chata|21|1979|140 pp.|Cuad - Mps|
Secretaría de Hacienda y Crédito Público Nacional Financiera|||Documentos para el estudio de la industrialización en México 1837-1845|||Primera|||México|Secretaría de Hacienda y Crédito Público Nacional Financiera|||1977|452 pp.|Cuad|
López Portillo|José||Estado de Chiapas|||Primera|||México|PRI|||X|83 pp.|Cuad - Mps|
Olmeda|Mauro||Sociedades precapitalistas II: Las fuerzas productivas y las relaciones de producción en las sociedades preclásicas|II||Primera|||México|Mauro Olmeda|||1960|521 pp.||
Olmeda|Mauro||Sociedades precapitalistas III: Las fuerzas productivas y las relaciones de producción en la antigüedad grecorromana|III||Primera|||México|Mauro Olmeda|||1962|310 pp.|Ilus - Fts - Mps|
Olmeda|Mauro||El desarrollo de la sociedad mexicana I : La fase prehispánica|||Primera|||México|Mauro Olmeda|||1966|327 pp.||
Olmeda|Mauro||El desarrollo de la sociedad mexicana II : La superestructura|||Primera|||México|Mauro Olmeda|||1965|397 pp.||
Allub |Leopoldo|Marco A. Michel|Industria petrolera y cambio regional en México el caso de Tabasco|||Primera|||México|Centro de Investigación para la integración social|Cuadernos del CIIS |2|1980|65 pp.|Cuad|
Martinez|Hildeberto||Codiciaban la tierra. El despojo agrario en los señorios de Tecamachalco y Quecholac (Puebla, 1520-1650)|||Primera|||México|Centro de investigaciones y Estudios superiores en Antropología Social|||1994|305 pp.|Cuad - Mps|
Hernández Jiménez|Dalmasio|Gerardo Angel Hernández Ponche et. al.|La marginalidad el comportamiento adaptativo de las familias marginadas en la colonia santa anita, delegación Iztacalco, México, D.F.|||Primera|||México|Universidad Nacional Autónoma de México|||1984|140 pp. más anexos|Cuad|
de Antuñano|Estevan||Documentos para la historia de la industrialización en México 1833-1846 tomo II|||Primera|||México|Secretaría de Hacienda y Crédito Público |||1979|643 pp.|Fts - Ilus|
Gobierno del Estado de Oaxaca|||Programa de desarrollo económico y social para el estado de Oaxaca|||Primera|||México|Gobierno del Estado de Oaxaca|||1974|396 pp.|Cuad|
Petróleos Mexicanos|||Zona petrolífera mesozoica del sureste|||Primera|||México|Petróleos Mexicanos|||X|X|Ilus - Fts - Cuad - Mps|
Petróleos Mexicanos|||Complejo petroquímico la cangrejera|||Primera|||México|Petróleos Mexicanos|||1981|X|Ilus - Fts - Cuad - Mps|
|||La crisis de los energéticos y el petróleo de México. Parte 1: La trayectoria internacional|||Primera|||México|X|||X|83 pp.||
Pérez de Ribas|Andrés||Paginas para la historia de Sinaloa y Sonora |I||Primera|||México|Editorial Layac|||1944|382 pp.||
Castro|Josué de||El libro negro del hambre|||Primera||Trad. por Samira Chuahy |Argentina|Editorial Universitaria de Buenos Aires|||1964|170 pp.|Cuad|
Lê Châu|||Del feudalismo al socialismo: La economía de Vietnam del norte|||Primera|||México|Siglo XXI Editores|El mundo del hombre Economía y Demografía||1967|420 pp.|Cuad - Mps|
Amin|Samir||El capitalismo periférico|||Primera||Trad. por Gerardo Dávila|México|Editorial Nuestro Tiempo|||1974|259 pp.||
Zéraoui|Zidane|Doris Musalem|Irán-Iraq Guerra, política y sociedad|||Primera|||México|Editorial Nueva Imagen|||1982|247 pp.||
Marx|Carlos||El capital/4|||Primera||Trad. por Manuel Sacristán|México|Ediciones Grijalbo|Textos Vivos |16|1976|146 pp.||
Valdés |Carlos Manuel||La gente del mezquite. Los nómadas del noroeste en la colonia|||Primera|||México|Centro de investigaciones y Estudios Superiores en Antropología Social|Historia de los pueblos indígenas de México||1995|279 pp.|Ilus - Fts - Cuad - Mps|
|Consejo Nacional de Población||Manual de la familia|||Primera|||México|Consejo Nacional de Población|||1982|120 pp.||
González Leal|Mariano||La historia de la ciudad de Guanajuato|||Primera|||México|Gobierno del Estado de Guanajuato|||1976|30 pp.||
Salama|Pierre||Sobre el valor|||Primera||Trad. por Hector  Guillén|México|Ediciones Era|Serie Popular Era|57|1978|233 pp.|Cuad|
