Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas.|Cantidad
Antin |Felipe||Vida y muerte de la inquisicion en Mexico.|||Primera|||México|Lito Ediciones Olimpia, S.A.|Colección DUDA||1973|188 pp.|Ilus|
Arias Garcia|Juan Jesus||El grupo domestico en una localidad henequenera de Yucatan.|||Primera|||México|Tesis Profesional.|||1972|200 pp.||
Aristides Quillet|||Enciclopedia Autodidactica Quillet.|III||Primera|||México|Litografia Panamericana.|||1963|483 pp.||
Aristides Quillet|||Enciclopedia Autodidactica Quillet.|IV||Primera|||México|Litografia Panamericana.|||1963|480 pp.||
Aristides Quillet|||Enciclopedia Autodidactica Quillet.|I||Primera|||México|Litografia Panamericana.|||1963|483 pp.||
Ballesteros Gaibrois|Manuel||Trabajos y Conferencias.|2||Primera|||México|Estudios Americanistas|||1953|70 pp.||
Baqueiro Lopez|Oswaldo||Magia, Mitos y Supersticiones entre los Mayas. |||Primera|||México|Maldonado Editores.|Colección Voces de Yucatan.|1|1983|88 pp.||
Barabas|Alicia|Miguel  Bartolome|Hydraulic Development and ethnocide: The mazatec and Chinantec People of Oaxaca, Mexico. COPIAS||||||México|||||||
Barcenas Lopez|Francisco||Convenio 169. |I||Primera|||México|Talleres Graficos de Instituto Nacional Indigenista. |Serie Politica Indigenista|1|1996|60 pp.||
Bartolome de las Casas|Fray||Doctrina|||3a.|||México|Lito Ediciones Olimpia, S.A.|||1973|178 pp.||
Bartra|Agusti||La epopey a de gilgamesh|IV||Primera|||México|Costaamic|||1963|114 pp.||
Beals L.|Ralph||Gifting, Reciprocity, Savings and Credit in peasant Oaxaca.|||Primera|||México||||1970|6 pp.||
