Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Núm. de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Mendieta|Fray Gerónimo de||Historia eclesiástica indiana|I||Primera|||México|Salvador Chávez Hayhde|||1945|185 pp.||
Mendieta|Fray Gerónimo de||Historia eclesiástica indiana|II||Primera|||México|Salvador Chávez Hayhde|||1945|215 pp.||
Mendieta|Fray Gerónimo de||Historia eclesiástica indiana|III||Primera|||México|Salvador Chávez Hayhde|||1945|227 pp.||
Mendieta|Fray Gerónimo de||Historia eclesiástica indiana|IV||Primera|||México|Salvador Chávez Hayhde|||1945|255 pp.||
Fernández de Oviedo|Gonzalo||Sumario de la natural historia de las indias|||Primera|||México|Fondo de Cultura Económica|Biblioteca Americana||1950|279 pp.||
Dahlgren de Jordan|Barbro||La grana cochinilla|||Primera|||México|José Porrúa e Hijos Sucesores|Nueva Biblioteca Mexicana de Obras Históricas|1|1963|327 pp.|Ilus - Cuad|
Miranda|José||El tributo indígena en la Nueva España durante el Siglo XVI|||Primera|||México|Fondo de Cultura Económica - El Colegio de México|||1952|348 pp.||
Velázquez|María del Carmen||Colotlán: doble frontera contra los bárbaros|||Primera|||México|Universidad Nacional Autónoma de México|Cuadernos del Instituto de Historia|3|1961|117 pp.|Mps|
Reyes García|Luis||Documentos manuscritos y pictóricos de Ichcateopan, Guerrero|||Primera|||México|Universidad Nacional Autónoma de México|||1979|217 pp.|Fts - Ilus|
Lévi-Strauss|Claude||Las estructuras elementales del parentesco|II||Primera||Trad. por Marie Therèse Cevasco|España|Planeta-De Agostini - Planeta|Obras Maestras del Pensamiento Contemporáneo||1993|575 pp.|Cuad|
Rubio Carracedo|José||Lévi-Strauss. Estructuralismo y ciencias humanas|||Primera|||Madrid|Ediciones Istmo|Biblioteca de Estudios Críticos|4|1976|368 pp.||
Daix|Pierre|et. al.|Claves del estructuralismo|||Primera||Trad. por Julio Vera|Argentina|Ediciones Calden|El Hombre y su Mundo||1969|153 pp.||
Almada|Francisco R.||Apuntes históricos de la región de Chínipas|||Primera|||México|Imprenta del Gobierno del Estado de Chihuahua|||1937|450 pp.|Fts - Ilus|
Casarrubias C.|Vicente||Rebeliones indígenas en la Nueva España|||2a.|||México|Secretaría de Educación Pública - Instituto Federal de Capacitación del Magisterio|Técnica y Ciencia|18|1963|185 pp.||
Masten Dunne, S. J.|Peter||Las antiguas misiones de la tarahumara|I||Primera||Trad. por Manuel Ocampo, S.J.|México|Editorial Jus|Figuras y Episodios de la Historia de México|56|1958|136 pp.|Mps - Fts|
Masten Dunne, S. J.|Peter||Las antiguas misiones de la tarahumara|II||Primera||Trad. por Manuel Ocampo, S.J.|México|Editorial Jus|Figuras y Episodios de la Historia de México|57|1958|354 pp.|Mps - Ilus - Fts|
Rhys Williams|Thomas||Field methods in the study of culture|||Primera|||Estados Unidos|Holt, Rinehart and Winston|Studies in Anthropological Method||1967|76 pp.|Mps|
Lafaye|Jacques||Los conquistadores|||Primera||Trad. por Elsa Cecilia Frost|México|Siglo Veintiuno Editores|||1970|242 pp.|Ilus - Fts|
Montagu|Ashley||Education and human relations|||Primera|||Nueva York|Grove Press|Evergreen Books|87|1958|191 pp.||
Gordon Childe|Vere||Man makes himself|||Primera|||Estados Unidos|The New American Library|Mentor Books|384|1951|192 pp.|Ilus - Cuad|
García Canclini|Néstor||Cultura y sociedad: una introducción|||Primera|||México|Secretaría de Educación Pública|||1981|44 pp.||
Rothacker|Erich||Problemas de antropología cultural|||Primera||Trad. por J. Rovira Armengol|México|Fondo de Cultura Económica|||1957|196 pp.||
Paris|Robert||La formación ideológica de José Carlos Mariátegui|||Primera||Trad. por Oscar Terán|México|Ediciones Pasado y Presente|Cuadernos de Pasado y Presente|92|1981|226 pp.||
Bate|Luis Felipe||Sociedad, formación económico social y cultura|||Primera|||México|Ediciones de Cultura Popular|||1978|209 pp.||
Chenaut|Victoria||Aquellos que vuelan. Los totonacos en el Siglo XIX|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Nacional Indigenista|Historia de los Pueblos Indígenas de México||1995|302 pp.|Ilus - Fts - Mps - Cuad|
Calvo|Thomas|et. al.|Xalisco, la voz de un pueblo en el Siglo XVI|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Centro de Estudios Mexicanos y Centroamericanos|||1993|213 pp.|Mps|
|||Aventuras y desventuras del Padre Kino en la pimeria alta|||Primera|||México|Asociación Nacional de Libreros|||1986|149 pp.|Mps|
Acuña|René||Relaciones geográficas del Siglo XVI: México|I||Primera|||México|Universidad Nacional Autónoma de México|||1985|400 pp.|Fts - Ilus - Mps|
Acuña|René||Relaciones geográficas del Siglo XVI: Tlaxcala|II||Primera|||México|Universidad Nacional Autónoma de México|||1985|484 pp.|Fts - Ilus - Mps|
Acuña|René||Relaciones geográficas del Siglo XVI: México|III||Primera|||México|Universidad Nacional Autónoma de México|||1986|226 pp.|Fts - Ilus - Mps|
Barco|Miguel del||Historia natural y crónica de la antigua California|||2a.|||México|Universidad Nacional Autónoma de México|||1988|482 pp.|Fts - Ilus - Mps|
Victoria Moreno|pp. Dionisio||Los carmelitas descalzos y la conquista espiritual de México|||Primera|||México|Editorial Porrúa|Biblioteca Porrúa|3|1966|350 pp.|Mps - Ilus|
Venegas|Miguel||Noticia de la California y de su conquista temporal y espiritual hasta el tiempo presente|I||Primera|||México|Editorial LAYAC|||1943|169 pp.|Ilus|
Venegas|Miguel||Noticia de la California y de su conquista temporal y espiritual hasta el tiempo presente|II||Primera|||México|Editorial LAYAC|||1943|348 pp.|Ilus - Mps|
Venegas|Miguel||Noticia de la California y de su conquista temporal y espiritual hasta el tiempo presente|III||Primera|||México|Editorial LAYAC|||1944|255 pp.|Mps|
Othón de Mendizábal|Miguel||Obras completas|III||Primera|||México|Taller Gráfico de la Nación|||1946|345 pp.|Ilus - Mps|
Ramos|José Luis|et. al.|El indio en la prensa nacional mexicana del Siglo XIX: catálogo de noticias|II||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|||1987|498 pp.||
