Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad|
Moctezuma Navarro|David||Chiapas. Los problemas de fondo.|||Primera|||Cuernavaca|Universidad Nacional Autónoma de México|||1994|168 pp.|Cuad||
Flores Torres|Jorge||Los mayas yucatecos y el control cultural|||Primera|||México|Universidad Autónoma Chapingo - Universidad Autónoma de Yucatán|||1997|144 pp.|Cuad||
Pineda Gómez|Francisco||La irrupción zapatista, 1911|||Primera|||México|Ediciones Era|Problemas de México||1997|247 pp.|Ilus - Mps||
|||Migración: México entre sus dos fronteras. Foro migrafciones 2000-2001|||Primera|||México|Foro Migraciones|||2002|126 pp.|Cuad||
Marion Singer|Marie-Odile||Los hombres de la selva|||Primera|||México|Instituto Nacional de Antropología e Historia|Regiones de México||1991|287 pp.|Ilus - Fts - Cuad - Mps||
|||Anuario 2000|||Primera|||Chiapas|Universidad de Ciencias y Artes de Chiapas|||2002|617 pp.|Cuad||
Guzmán Bulnes|Josefa||Las relaciones del estado chileno con el pueblo mapuche: las limitaciones de la legislación frente a la realidad mapuche|||Primera|||México|Escuela Nacional de Antropología e Historia - Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|||2002|155 pp.|Cuad - Mps||
Burguete|Araceli|Xochitl Leyva|Nuevos municipios en Chiapas|||Primera|||Chiapas|Centro de Investigaciones y Estudios Superiores en Antropología Social|||2001|23 pp.|Fts - Mps||
Viqueira Albán|Juan Pedro||María de la Candelaria. India natural de cancuc|||Primera|||México|Fondo de Cultura Económica|Popular|478|1993|91 pp.|Mps||
Pazos|Luis||¿Por qué Chiapas?|||Primera|4a.||México|Diana|||1994|156 pp.|Ilus - Fts - Cuad - Mps||
|||Anuario II 2005|||Primera|||México|Academia Mexicana de Ciencias Antropológicas|||2005|184 pp.|Ilus - Cuad - Mps||
Castro Zárate|Lourdes Gabriela||Sanar y salvar vidas. Prácticas médicas tradicionales y alópatas en un excampamento de refugiados guatemaltecos en Campeche, México.|||Primera|||Mérida|Universidad Autónoma de Yucatán|||2001|141 pp.|Fts - Cuad - Mps||
Toledo Tello|Sonia||Fincas, poder y cultura en Simojovel|||Primera|||Chiapas|Universidad Autónoma de Chiapas|||1999|288 pp.|Fts||
Vargas Melgarejo|Luz María||Los colores lacandones: la percepción visual de un pueblo maya|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia|Científica||1998|117 pp.|Fts - Cuad||
Tejera Gaona|Héctor||Identidad, formación regional y conflicto político en Chiapas|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia|Científica||1997|103 pp.|Cuad - Mps||
Soriano Hernández|Silvia||A propósito de la insurgencia en Chiapas|||Primera|||México|Asociación para el Desarrollo de la Investigación Científica y Humanística en Chiapas|||1994|227 pp.|Fts - Cuad||
Anguiano|Marina||Las culturas indígenas vistas por sus propios creadores|||Primera|||México|Universidad Pedagógica Nacional - Miguel Ángel Porrúa|||2003|155 pp.|Fts - Mps||
Weber|David J.||Foreigners in their native land|||Primera|||Albuquerque|University of New Mexico Press|||1973|288 pp.|Fts||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
