Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
Myrdal|Gunnar||Objetividad en la investigación social|||Primera||Trad. Por Remigio Jasso|México|Fondo de Cultura Económica|Breviarios|212|1970|117 pp.|
Stone|Richard||Mathematics in the social sciences and other essays|||Primera|||Massachusetts|Massachusetts Institute of Technology Press|||1966|291 pp.|Cuad
Brown|Robert||Explanation in social science|||Primera|||Chicago|Aldine Publishing Company|||1963|198 pp.|
González Casanova|Pablo||Estudio de la técnica social|||Primera|||México|Universidad Nacional Autónoma de México|Problemas científicos y filosóficos|7|1958|141 pp.|
Padua|Jorge||Paquete estadístico para las ciencias sociales (SPSS): oferta y condiciones para su utilización e interpretación de resultados|||Primera|||México|El Colegio de México|Cuadernos del CES|12|1978|104 pp.|Cuad
Uribe Villegas|Oscar||La matemática, la estadística y las ciencias sociales|||Primera|||México|Instituto de Investigaciones Sociales de la UNAM|Cuadernos de sociología||1963|323 pp.|Cuad
VV.AA.|||Guía de campo del investigador social|IV||Primera|||Washington, D.C.|Unión Panamericana|Manuales técnicos||1957|185 pp.|
Bosch García|Carlos||La técnica de investigación documental|||Primera|||México|Universidad Nacional Autónoma de México|||1959|62 pp.|
Babini|José||El siglo de las luces: ciencia y técnica|||Primera|||Buenos Aires|Centro Editor de América Latina|Biblioteca fundamental del hombre moderno||1971|156 pp.|Ilus - Fts
Stacey|Margaret||Methods of social research|||Primera|||Gran Bretaña|Pergamon Press|||1969|173 pp.|Cuad
Ander-Egg|Ezequiel||Técnicas de investigación social|||14a.|||Buenos Aires|El Cid Editor|Metodología||1980|461 pp.|Cuad - Mps
Gortari|Eli de||La metodología: una discusión y otros ensayos sobre el método|||Primera|||México|Grijalbo|Tratados y manuales||1980|173 pp.|
Blalock|Hubert||Introducción a la investigación social|||Primera|||Buenos Aires|Amorrortu|||1971|135 pp.|Cuad
Alonso|José Antonio||Sociológica conceptos||26|Primera|||México|Edicol|||1977|143 pp.|
Bronowski|||El sentido común de la ciencia|||Primera||Manuel Carbonell|Londres|Ediciones península|Historia / Ciencia / Sociedad|146|1978|161 pp.|
Barker|David||Some methodological issues in the measurement, analysis and evaluation of peasant farmers' knowledge of their enviroment|||Primera|||Chelsea|MARC|||1977|13 pp.|
Achinstein|Peter||Los modelos teóricos|III|8|Primera||Madelena Sancho|México|Universidad Nacional Autónoma de México|Problemas cientificos y filosoficos||1967|27 pp.|
S. Silk|Leonard||Investigación científica: clave del progreso|||Primera||José Meza Nieto|México|Editorial Limusa Wiley|||1965|268 pp.|
Mayone Stycos|||Familia y felicidad en Puerto Rico|||Primera|||México|Fondo de Cultura Económica|||1958|347pp.|
Durkheim|Emilio||Las reglas del metodo sociologico|||Cuarta|||México|Ediciones Quinto Sol||||111 pp|
Carbó|Teresa||Discurso politico: lectura y análisis|||Primera|||México|Centro de investigaciónes y estudios superiores de antropología social|Cuadernos de la casa Chata|105|1984|150 pp.|
|||Religión y sociedad en el sureste de México||III|Primera|||México|Centro de investigaciónes y estudios superiores de antropología social|Cuadernos de la casa Chata|163|1989|217 pp.|
|||Religión y sociedad en el sureste de México||III|Primera|||México|Centro de investigaciónes y estudios superiores de antropología social|Cuadernos de la casa Chata|162|1989|266 pp.|
|||Religión y sociedad en el sureste de México||VI|Primera|||México|Centro de investigaciónes y estudios superiores de antropología social|Cuadernos de la casa Chata|166|1989|248 pp.|
Lebret|||Manual de encuesta social|I||Primera|||Madrid|Ediciones RIALP|||1961|429 pp.|
Lebret|||Manual de encuesta social|II||Primera|||Madrid|Ediciones RIALP|||1962|496 pp|
