Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Tamayo|Jesús|José Luis Fernández|Zonas fronteizas (México-Estados Unidos)|||Primera|||México|Centro de Investigación y Docencia Económicas|Estudios políticos|2|1983|231 pp.|Cuad - Mps|
|||Fuerte es su corazón. Los municipios rebeldes zapatistas|||Primera|||México|Ediciones del Frente Zapatista de Liberación Nacional|||1998|43 pp.|Ilus - Fts|
Imberton Deneke|Gracia María||La vergüenza. Enfermedad y conflicto en una comunidad chol.|||Primera|||México|Universidad Nacional Autónoma de México|Científica|5|2002|171 pp.||
San Antón Muñón|Don Francisco de||Relaciones originales de Chalco Amaquemecan|||Primera||Trad. Por S. Rendón|México|Fondo de Cultura Económica|||1965|365 pp.|Cuad - Mps|
Ruz|Mario Humberto||Un rostro encubierto. Los indios del Tabasco colonial.|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Nacional Indigenista|Historia de los pueblos indígenas de México||1994|352 pp.|Ilus - Fts - Cuad - Mps|
Ruz|Mario Humberto||La iglesia en el área maya|||Primera|||México|Universidad Nacional Autónoma de México|||1999|264 pp.||
Valencia Ortega|Ismael||Cananea|||Primera|||México|INAH - SEP|||1984|114 pp.||
Crossan|John Dominic||El nacimiento del cristianismo. Qué pasó en los años posteriores a la crucifixión de Jesús.|||Primera||Trad. Por Marcelo Pérez Rivas|Buenos Aires|Emecé|||2003|640 pp.||
Velázquez|María del Carmen||El fondo piadoso de las misiones de Californias|||Primera|||México|Secretaría de Relaciones Exteriores|Archivo histórico diplomático mexicano|17|1985|535 pp.|Ilus - Cuad - Mps|
Verdugo Fimbres|María Isabel||Frontera en el desierto. Historia de San Luis Río Colorado|||Primera|||Hermosillo|INAH - SEP - Centro Regional del Noroeste|Historias municipales||1983|132 pp.|Fts - Cuad - Mps|
Flores García|Silvia Raquel||Nogales. Un siglo en la historia.|||Primera|||México|INAH - SEP - Centro Regional del Noroeste|||1987|116 pp.|Fts - Cuad - Mps|
Verdugo Fimbres|María Isabel||Presente y pasado: historia del municipio de Puerto Peñasco|||Primera|||Hermosillo|INAH - SEP - Centro Regional del Noroeste|||1985|86 pp.|Fts - Cuad|
Alessio Robles|Vito||Acapulco, Saltillo y Monterrey en la historia y en la leyenda|||Primera|||México|Porrúa|Biblioteca Porrúa|66|1978|670 pp.|Ilus - Fts - Mps|
Millán|Saúl|Julieta Valle|La comunidad sin límites|III||Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2003|341 pp.|Ilus - Fts - Cuad - Mps|
Silva Rhoads|Carlos|Concepción María del Carmen Hernández|Estudios de patrón de asentamiento en Playa del Carmen. Quintana Roo|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1991|269 pp.|Ilus - Fts - Mps|
López Cervantes|Gonzalo|Rosa García García|Ensayo bibliográfico del periodo colonial en México|||Primera|||México|Instituto Nacional de Antropología e Historia|Fuentes||1989|235 pp.|Ilus|
Academia Mexicana de Ciencias|||Directorio 2001|||Primera|||México|Academia Mexicana de Ciencias|||2001|245 pp.||
Hernández Castillo|Rosalva Aída||La otra frontera. Identidades múltiples en el Chiapas poscolonial.|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Miguel Ángel Porrúa|||2001|321 pp.|Fts - Mps|
Suárez|Blanca|Emma Zapata Martelo|Remesas. Milagros y mucho más realizan las mujeres indígenas y campesinas.||II|Primera|||México|Grupo Interdisciplinario sobre Mujer, Trabajo y Pobreza|||2004|494 pp.|Cuad - Mps|
Morales Bermúdez|Jesús T.||Pensamiento y catolicidad en Chiapas. La diócesis de San Cristóbal de las Casas 1950-1995|||Primera|||México|Instituto Nacional de Antropología e Historia|||2004|392 pp.|Ilus - Fts - Mps|
Viqueira|Juan Pedro|Mario Humberto Ruz|Chiapas, los rumbos de otra historia|||Primera|||México|UNAM - CIESAS - CEMCA - Universidad de Guadalajara|||1995|508 pp.|Cuad - Mps|
Instituto Nacional de Estadística, Geografía e Informática|||Censos económicos 1994. Resultados oportunos.|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informática|||1994|75 pp.|Cuad|
Pérez Ruiz|Maya Lorena||¡Todos somos zapatistas! Alianzas y rupturas. EZLN y organizaciones indígenas (versión preliminar).|||Primera|||México|Universidad Autónoma Metropolitana|||1998|409 pp.|Cuad|
Instituto Nacional de Estadística, Geografía e Informática|||Estadísticas demográficas|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informática|Cuaderno de población|6|1994|187 pp.|Cuad|
|||Modernización y cambio político en Chiapas|||||||||||153 pp.||
