Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título de libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Núm. De páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Reina|Leticia||Los retos de la etnicidad en los estados-nación del siglo XXI|||Primera|||México|Centro de investigaciones y estudios superiores en antropologia social/Instituto Nacional Indigenista/Miguel Ángel Porrúa|||2000|347 pp.||
Castro  Gutierrez|Felipe ||La rebelión de los indios y la paz de los españoles|||Primera|||México|Centro de investigaciones y estudios superiores en antropologia social|Historia de los pueblos indígenas de México||1996|170 pp.|Ilus - Fts - Mps|
Girard |Rafael||Indios selváticos de la amazonía Peruana|||Primera|||México|Libro Mex Editores|||1958|356 pp.|Ilus - Fts - Mps|
Salazar Anaya |Delia||Imágenes de los inmigrantes en la Ciudad de México 1753-1910|||Primera|||México|Plaza y Valdes / Instituto Nacional de antropologia e historia|||2002|250 pp.|Cuad - Mps|
Atilano Flores|Juan José||Entre lo propio y lo ajeno. La Identidad étnico-local de los jornaleros mixtecos|||Primera|||México|Instituto Nacional Indigenista|||2000|100 pp.|Fts - Cuad - Mps|
Tepexicuapan Gómez |Amparo|Alfredo Hernández Murillo|Manuscrito de la junta revolucionario de Puebla|||Primera|||México|Instituto Nacional de Antropologia e historia|||1993|50 pp.|Fts|
|INEGI||San Luis Potosi resultados definitivos tabulados básico|||Primera|||México |INEGI|||1996|584 pp.|Cuad|
Ordoñez Alonso|Maria Magdalena||El comité técnico de ayuda a los republicanos españoles: historia y documentos 1939-1940|||Primera|||México|Instituto Nacioanl de Antropologia e historia|||1997|370 pp.|Fts - Cuad|
Reina|Mary||Todo lo que quiso saber sobre Excel para windows y no se atrevió a preguntar|||Primera||Trad. por Jesus Fabregat |España|Osborne/McGraw-Hill|||1994|361 pp.|Ilus - Fts - Cuad|
Ramos Mazariegos|Ileana||El poder del municipio|||Primera|||México|Banco Nacional de Obras y Servicios Publicos|||1987|108 pp.|Ilus - Fts - Mps|
Beltran Alonso|Agustin ||Análisis histórico de la relacion migración-prostitución en Tijuana 1900-1998 tésis que presenta Agustin Beltran Alonso para optar al titulo de licenciado en historia|||Primera|||México|Instituto Nacioanl de Antropologia e historia|||2001|153 pp.|Fts - Cuad - Mps|
|UTEHA||Egipcios|II||Primera|||España|UTEHA|El hombre Origen y Misterios||1983|255 pp.|Fts - Mps|
Gillenkirk|Jeff|James Motlow|Bitter melon inside America's last rural Chinese town|||Primera|||EUA|Library of Congress Cataloging-in-publication Data|||1987|140 pp.|Fts - Mps|
Iglesias |Esther||Las haciendads de la peninsula de Yucatán a mediados del siglo XIX|||Primera|||México|Instituto de Investigaciones Economicas UNAM|||1984|93 pp.|Fts|
Gómez Poncet|Jorge||Textiles Tzotziles|||Primera|||México|Instituto Nacional de Antropologia e historia|||1998|146 pp.|Fts|
Valencia Rojas|Alberto||La migracion indigena a las ciudades|||Primera|||México|Instituto Nacional Indigenista|Serie Migración Indígena||2000|156 pp.|Fts - Cuad - Mps|
Rubio|Miguel Ángel|Saul Millán et. al. |La migracion indigena en México|||Primera|||México|Instituto Nacional Indigenista|Serie Migración Indígena||2000|239 pp.|Fts - Cuad|
Gutierrez Sanchez|Javier||La migracion indigena en la frontera sur causas y perspectivas|||Primera|||México|Instituto Nacional Indigenista|Serie Migración Indígena||2000|154 pp.|Fts - Cuad - Mps|2
Olmeda|Mauro||Sociedades precapitalistas las fuerzas productivas y las relaciones de producción en la Edad Media|IV||Primera|||México|Mauro Olmeda|||1963|341 pp.||
Acuña|René||Relaciones Geográficas del siglo XVI: México|II||Primera|||México|Universidad Nacional Autónoma de México|||1986|316 pp.|Ilus - Mps|
|El Colegio de la Frontera del Norte||Guia internacional de investigaciones sobre México|||Primera|||México|El Colegio de la Frontera Norte|||1986|502 pp.||
|El Colegio de la Frontera del Norte||Guia internacional de investigaciones sobre México|||Primera|||México|El Colegio de la Frontera Norte|||1987|719 pp.||
Finkelstein|Joseph|Alfred L. Thimm|Economistas y sociedad el desarrollo del pensamiento económico desde Tomás de Aquino a Keynes|||Primera||Trad. por J. M. Alvarez Florez y Angela Pérez|México|Logos Consorcio Editorial |||1976|379 pp.|Cuad|
Nandayapa Urbina|Arturo de Jesús||Las razones de Chiapas|||Primera|||México|Editorial PAC |||1994|222 pp.|Fts|
Osorio|Jaime||Fundamentos del análisis social la realidad social y su conocimiento|||Primera|||México|Universidad Autónoma Metropolitana Unidad Xochimilco/Fondo de cultura económica |||2001|175 pp.||
León-Portilla|Miguel||Motivos de la antropología americanista indagaciones en la diferencia|||Primera|||México|Fondo de Cultura Económica|||2001|510 pp.||
Nolasco|Margarita|Carlos Melesio et. al. |Aspectos sociales de la migración en México|||Primera|||México|Instituto Nacional de Antropologia e historia|||1979|332 pp.|Cuad - Mps|
Suárez|Blanca|Emma Zapata Martelo|Remesas milagros y muchos más realizan las mujeres indígenas y campesinas|I||Primera|||México|Grupo Interdisciplinario sobre mujer, Trabajo y Pobreza/Fundacion Ford/Fundacion Rockefeller|PEMSA|6|2004|502 pp.|Cuad - Mps|
Austin López|Alfredo||Hombre-Dios religión y política en el mundo Náhuatl|||3a.|||México|Universidad Nacional Autónoma de México|||1998|209 pp.|Ilus|
|Que Corporation||1 2 3 Quick reference |||Primera|||EUA|Que Corporation|||1989|154 pp.||
|Microsoft||Microsoft World sampler: An idea book|||Primera|||EUA|Microsoft Corporation|||1989|110 pp.|Ilus - Fts - Cuad|
Manheim L.|Henry||Investigación sociológica filosofía y métodos|||Primera|||España|Ediciones CEAC|||1982|336 pp.|Cuad|
Reed|Nelson||La guerra de castas de Yucatán|||Primera||Trad. por Felix Blanco|México|Ediciones Era|||1971|297 pp.|Cuad - Mps|
Félix-Báez|Jorge||Los zoque-popolucas|||Primera|||México|Instituto Nacional Indigenista|Presencias |25|1990|245 pp.|Cuad - Mps|
Garza|Anna Maria|Maria Fernanda Paz et. al.|Voces de la historia Nuevo San Juan Chamula, Nuevo Huixtán, Nuevo Matzam|||Primera|||México|Centro Regional de Investigaciones Multidisciplinarias|||1994|93 pp.||
Martin de Guijo|Gregorio|Antonio de Robles|Diario de sucesos virreinales|||Primera|||México|Joaquin Mortiz/Planeta Mexicana|Ronda de Clásicos Mexicanos||2002|101 pp.||
Aguayo|Sergio||El éxodo centroamericano|||Primera|||México|Consejo Nacional de Fomento Educativo|||1985|173 pp.|Cuad|
Willis|Delta||La banda de hominidos |||Primera||Trad. por Marta E. Savigliano|España|Editorial Gedisa|Hombre y Sociedad||1992|400 pp.|Mps|
Fox|Jonathan|Gaspar Rivera-Salgado|Indigenous Mexican migrants in the United States|||Primera|||EUA|Center for U.S.-Mexican Studies/Center for comparative Immigration Studies|||2004|526 pp. |Cuad - Mps|
