Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas
Universidad Nacional Autónoma de México|||Catálogo de publicaciones del Centro Regional de Investigaciones Multidisciplinarias|||6a.|||México|Universidad Nacional Autónoma de México|||2004|63 pp.|Fts
Barabas|Alicia||Utopías indias|||3a.|||México|Plaza y Valdés - CONACULTA - INAH|||2002|228 pp.|Mps
Martínez C.|Leopoldo||La intervención norteamericana en México|||5a.|||México|Panorama Editorial|||1989|234 pp.|Ilus - Fts - Cuad
Fábregas|Andrés|et. Al.|La formación histórica de la frontera sur|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa chata|124|1985|303 pp.|Cuad - Mps
Secretaría de Industria y Comercio|||Programa de industrialización de la Frontera Norte de México||||||México|Secretaría de Industria y Comercio||||37 pp.|Cuad
Rendón Parra|Josefina||Apuntes históricos de Tijuana||||||México|Josefina Rendón Parra||||135 pp.|Fts
Gobierno del Estado de Quintana Roo|||Monografía municipal de Othón P. Blanco||||||Quintana Roo|Centro Estatal de Estudios Municipales||||52 pp.|Cuad - Mps
Millán|Saúl|Julieta Valle|La comunidad sin límites||II|Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2003|343 pp.|Fts - Cuad - Mps
Zorrilla|Juan Fidel|et. Al.|Tamaulipas. Textos de su historia.|I||Primera|||México|Gobierno del Estado de Tamaulipas - Instituto de Investigaciones Dr. José María Luis Mora|||1990|382 pp.|
Gobierno del Estado de Quintana Roo|||Centros de crecimiento en Othón P. Blanco||||||Quintana Roo|Centro Estatal de Estudios Municipales||||71 pp.|Cuad - Mps
Denman|Catalina A.||Las repercusiones de la industria maquiladora de exportación en la salud: el peso al nacer de hijos de obreras en Nogales|||Primera|||Sonora|El Colegio de Sonora|Cuadernos de trabajo|2|1991|135 pp.|Cuad
Villafuerte Solís|Daniel||El café en la frontera sur|||2a.|||Chiapas|Universidad de Ciencias y Artes de Chiapas|||2000|175 pp.|Cuad - Mps
Melesio Nolasco|José Carlos||Movimientos migratorios en frontera: mexicanos a Estados Unidos y haitianos a República Dominicana|||Primera|||Mexicali|Universidad Autónoma de Baja California|Ciencias sociales|6|1986|57 pp.|Cuad - Mps
Secretaría de Medio Ambiente, Recursos Naturales y Pesca|||Programa Frontera XXI|||Primera|||México|Secretaría de Medio Ambiente, Recursos Naturales y Pesca|||1996|239 pp.|Cuad
Instituto Nacional Indigenista|||Estado de desarrollo económico y social de los pueblos indígenas de México|2||Primera|||México|Instituto Nacional Indigenista - PNUD|||2000|880 pp.|Cuad - Mps
Universidad Autónoma de Baja California|||Historia de Tijuana|1||2a.|||Tijuana|Universidad Autónoma de Baja California - Gobierno del Estado de Baja California - XII Ayuntamiento de Tijuana|||1989|338 pp.|Ilus - Fts - Cuad - Mps
López Cortés|Ignacio||Frontera norte, espacio límite creador de identidad|||Primera|||México|Escuela Nacional de Antropología e Historia|||1996|184 pp.|
Russek Martínez|Jorge||Sonora|||Primera|||México||||1982|239 pp.|Fts
|||El poblamiento de México|1||Primera|||México|Secretaría de Gobernación - Consejo Nacional de Población|||1993|327 pp.|Ilus - Fts - Cuad - Mps
Sierra|Carlos J.||Los indios de la frontera|||Primera|||México|Ediciones Muralla|||1980|113 pp.|Ilus - Mps
Maldonado Alvarado|Benjamín||Autonomía y comunalidad india|||Primera|||Oaxaca|CONACULTA - INAH - CEDI - Secretaría de Asuntos Indígenas|||2002|174 pp.|Cuad
Centro de Estudios Superiores de México y Centroamérica|||Anuario 1999. Los artificios de la fidelidad.|||Primera|||Chiapas|Universidad de Ciencias y Artes de Chiapas|||2000|193 pp.|Mps
Teja Zabre|Alfonso||Dinámica de la historia y frontera interamericana|||Primera|||México|Ediciones Botas|||1947|190 pp.|
Madsen|William||The mexican.americans of south Texas|||Primera|||Estados Unidos|Holt, Rinehart and Winston|||1964|112 pp.|Fts
Terán|Cuauhtémoc L.||Jesús García. Héroe de Nacozari|||Primera|||Sonora|Gobierno del Estado de Sonora - Instituto Sonorense de Cultura - Secretaría de Fomento Educativo y Cultura|||1991|170 pp.|Fts
Ortiz Macedo|Luis||El arte del México virreinal|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|20|1972|141 pp.|Fts - Mps
Alonso|Jorge|Juan Manuel Ramírez Sáiz|La democracia de los de abajo en México|||Primera|||México|La Jornada Ediciones - Consejo Electoral del Estado de Jalisco - UNAM|||1997|347 pp.|
McQuown|Norman|Julian Pitt-Rivers|Ensayos de antropología en la zona central de Chiapas|||Primera|2a.|Trad. Por Daniel Cazés|México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional Indigenista|Presencias|7|1990|441 pp.|Ilus - Fts - Cuad
Trejo|Evelia||Los límites de un discurso|||Primera|||México|Universidad Nacional Autónoma de México - Instituto Nacional de Antropología e Historia - Fondo de Cultura Económica|||2001|453 pp.|
Sández|Melquiades||Por encima de las pasiones|||Primera|||México|Melquiades Sández|||1968|172 pp.|Fts
González-Aréchiga|Bernardo|Rocío Barajas Escamilla|Las maquiladoras: ajuste estructural y desarrollo regional|||Primera|||Tijuana|El Colegio de la Frontera Norte - Fundación Friedrich Ebert|||1989|339 pp.|Cuad
Alarcón Cantú|Eduardo||Evolución y dependencia en el noreste: las ciudades fronterizas de Tamaulipas|||Primera|||Tijuana|El Colegio de la Frontera Norte|||1990|58 pp.|Cuad
Vázquez|Josefina Zoraida|Lorenzo Meyer|México frente a Estados Unidos|||2a.|Primera||México|Fondo de Cultura Económica|||1992|248 pp.|
Messmacher|Miguel||La interdependencia en la frontera norte de México|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa chata|92|1983|136 pp.|Cuad - Mps
Calzadiaz Barrera|Alberto||Dos gigantes. Sonora y Chihuahua|1||Primera|||Hermosillo|Escritores Asociados del Norte|||1964|278 pp.|Fts
Ramírez Acosta|Ramón de Jesús||Temas sobre México y su frontera norte|||Primera|||Mexicali|Universidad Autónoma de Baja California|||1991|199 pp.|Cuad
Enríquez Coyro|Ernesto||El tratado entre México y los Estados Unidos de América sobre ríos internacionales|1||Primera|||México|Universidad Nacional Autónoma de México|||1975|671 pp.|Mps
Bartolomé|Miguel A.||Visiones de la diversidad|IV||Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2005|334 pp.|Fts - Cuad - Mps
Bartolomé|Miguel A.||Visiones de la diversidad|III||Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2005|328 pp.|Fts - Cuad - Mps
Bartolomé|Miguel A.||Visiones de la diversidad|III||Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2005|371 pp.|Fts - Cuad - Mps
Carreño|Elvia|et. Al.|Catálogo de la Biblioteca del Convento Grande de la Merced de la ciudad de México|III||Primera|||México|Instituto Nacional de Antropología e Historia|Fuentes||2002|107 pp.|
Gerhard|Peter||La frontera sureste de la Nueva España|||Primera||Trad. Por Stella Mastrangelo|México|Universidad Nacional Autónoma de México|Espacio y tiempo|2|1991|166 pp.|Cuad - Mps
