Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
||||Condiciones laborales de la mujer rural|||Primera||||Fundación Ford-Centro de estudios históricos de la cuestión agraria mexicana|||1995|200|Cuadros e ilustraciones|
Pressat |Roland|||El análisis demográfico|||Primera|1973|Trad. Por Armando Joubet|México, D.F|Fondo de cultura económica|||1967|440|Cuadros|
Domínguez Toledano|Alfonso|||Bioestadística|||Primera|||México, D.F||Museo Nacional de Antropología|2|1953|181|Cuadros|
Galván|Luz Elena|||La educación superior de la mujer en México: 1876-1940|||Primera|||México, D.F|CIESAS|Cuadernos de la casa chata|109|1985|95|Cuadros|
Martínez Manautou|Jorge||Editor|La revolución demográfica en México: 1970-1980|||Primera|||México, D.F|IMSS|||1985|523|Cuadros|
||||Women education equality|||Primera|||París|The Unesco Press|||1975|109||
Pravaz|Susana|||Tres estilos de mulher||39|Primera|||Río de Janeiro|Editor Paz e Terra|Colección O Mundo||1981|144||
Pérez-Gil Romo|Sara Elena|Juan Carlos Ramírez Rodríguez |Coordinadores|Género y salud femenina |||Primera|||México, D.F|"CIESAS-Universidad de Guadalajara-Instituto nacional de la nutrición ""Salvadorn Subirán"""|||1995|328|Cuadros|
Mercado Martínez|Francisco Javier|||Entre el infierno y la gloria. La experiencia de la enfermedad crónica en un barrio urbano|||Primera|||Guadalajara, Jalisco|Universidad de Guadalajara|||1996|354||
Manzanilla López|Rubén||Coordinador|Umbrales y veredas|||Primera|||México, D.F|INAH|||1997|371|Fotos, ilustraciones, cuadros|
Menendez|Eduardo L.|||Poder, estratificación y salud|||Primera|||México, D.F|CIESAS|||1981|590|Cuadros|
Oriol Anguera|Antonio|||La mujer ¿liberación?¿realización?|||Primera|||México, D.F|Editorial Trillas|||1974|72|Fotos-ilustraciones|
Castellanos Guerrero|Alicia|||La condición social de la mujer en los Estados Unidos|||Primera|||México|Escuela Nacional de Antropología e Historia|||1972|127|Cuadros e ilustración|
Jiménez Badillo|Diego|||OFRENDATA. Aplicación de un sistema de base de datos para controlar una colección arqueológica|||Primera|||México, D.F|INAH|||1997|484|Cuadros|
Rodríguez Domínguez|José|||Antología de Ciencias de la Salud|||Primera|||México, D.F|UNAM||24|1975|333|Cuadros e ilustraciones|
Romero Álvarez|Humberto|||Salud sin fronteras|||Primera|||México|Asociación fronteriza mexicana-estadounidense de salubridad|||1975|177|Cuadros, fotos|
Aguirre Beltrán|Gonzalo|||El rol de la medicina en las regiones de refugio||I|Primera|||México||||1965|77||
Mena Marqués |Manuela B.|||Goya|||Cuarta |||Madrid, España|Fundación amigos del Museo del Prado|||2000|64|Fotografías y mapas|
Yarza Luaces|Joaquín|||El Bosco y la pintura flamenca del siglo XV|||Segunda|||Madrid, España|Fundación amigos del Museo del Prado|||2000|64|Fotos y mapas|
Harrington |Michael|||La cultura de la pobreza en los Estados Unidos|||Primera|||México, D.F|Fondo de cultura económica|Colección Popular|49|1963|243||
Arispe |Lourdes|||Mujer campesina, mujer indígena||XXXV||||México, D.F|Colegio de México||3|1975|[12]||
Brandt|Richard B.||Compilador|Justicia Social|||Primera|||México|Libreros mexicanos unidos-El mundo||5348|1965|216||
Holmes|Alan C.||Consultor|Visual aids in nutrition education|||Tercera|||Roma, Italia|FAO|||1968|151|Ilustraciones|
Falcón|Gloria|Denise Hellion||Museo nacional de las culturas|||Primera|||México, D.F|CONACULTA-INAH-Museo Nacional de las Culturas|||1997|43|Fotos e ilustraciones|
Barry|Kathleen|Charlotte Bunch  et al|Editores|International feminism: networking against female sexual slavery|||Primera|||Rotterdam, Netherlands||||1984|141|Fotos|
Ortiz de Ayala|Simón Tadeo|||Resumen de la estadística del imperio mexicano|||Primera|||México, D.F|UNAM|||1968|105|105|
Castillo Farreras|José|||Las costumbres y el derecho|||Primera|||México, D.F|SEP|Sepsetentas|107|1973|183||
Evans-Pritchards|E.E.|||La mujer en las sociedades primitivas|||Primera|||Barcelona|Ediciones Península|||1971|268|Mapa|
Durán Ochoa|Julio|||Población|||Primera|||México-Buenos Aires|Fondo de cultura económica|||1955|277|Cuadros, Gráficas|
Manrique Castañeda|Leonardo|||La población indígena mexicana|||Primera|||Ags, Aguascalientes|INAH-INEGI-UNAM|||1994|98|Cuadros|
Farmer|Richard N.|John D. Long et al||Población Mundial: perpectivas para el futuro|||Primera||Trad. Por Ramón Palazón|México, D.F|Editorial Diana|||1974|323|Cuadros|
Kingsley|Davis|||Corrientes demográficas mundiales|||Primera|||México, D.F|Fondo de cultura económica|||1950|395|Cuadros|
||||Estudios demográficos y urbanos 9||3|Primera|||México, D.F|El colegio de México||3|1988|611|Cuadros|
Bonfil Sánchez|Paloma||Coordinadora|Mujer indígena hoy. Panorama y perspectivas|||Primera|||Pekín|FNUAP-CONAPO||10|1995|112||
||||Mujeres Coreanas|||Primera|||Pyongyang|Ediciones en Lenguas Extranjeras|||1970|108|Fotos|
Rodríguez-Shadow|Ma. De Jesús|Beatriz Barba de Piña Chán|Coordinadoras|Chalchihuite. Homenaje a Doris Heyden|||Primera|||México, D.F|INAH|Colección Científica||1999|305|Cuadros, ilustraciones y fotos|
Brokmann|Carlos|||Tipología y análisis de la obsidiana de Yaxchilán, Chiapas|||Primera|||México, D.F|INAH|Colección Científica||2000|283|Cuadros e Imágenes|
Litvak Jaime|Jaime|Lorena Mirambell|Coordinadores|Arqueología, historia y antropología|||Primera|||México, D.F|INAH|Colección Científica||2000|558|Cuadros, fotos e ilustraciones|
Guzmán|Ana Fabiola|Óscar J. Polanco||Los peces arqueológicos de la ofrenda 23 del Templo Mayor de Tenochtitlán|||Primera|||México, D.F|INAH|Colección Científica||2000|225|Cuadros|
Sanchéz Alaniz|José Ignacio|||Las unidades habitacionales en Teotihuacan: el caso Bidasoa|||Primera|||México, D.F|INAH|Colección Científica||2000|315|Fotos y cuadros|
Barba de Piña Chán|Beatriz||Coordinadora|Iconografía mexicana I|||Primera|||México, D.F|INAH|Colección Científica||1998|233|Ilustraciones y Fotos|
Barba de Piña Chán|Beatriz||Coordinadora|Iconografía mexicana II. El cielo, la tierra y el inframundo|||Primera|||México, D.F|INAH|Colección Científica||2000|334|Ilustraciones y Fotos|
