Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Núm. de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad||||||||||
Panikkar|Kavalam Madhava||La sociedad india en la encrucijada|||3a.||Trad. Por Silvia San Ildefonso y Saad Chedid|Argentina|Editorial Universitaria de Buenos Aires|Biblioteca Asia y África||1963|119 pp.||||||||||||
Grousset|René||Historia de Asia|||7a.||Trad. Por Víctor D. Bouilly|Argentina|Editorial Universitaria de Buenos Aires|Biblioteca Asia y África||1962|123 pp.|Mps|||||||||||
Sartiaux|Féxil||Las civilizaciones antiguas del Asia Menor|||Primera||Trad. Por Antonio González|Barcelona|Labor|Colección Labor Sección VI - Ciencias Históricas|25|1954|102 pp.|Fts - Mps|||||||||||
Wallbank|Thomas Walter||A short history of India and Pakistan from ancient times to the present|||Primera|||Estados Unidos|The New American Library|Mentor Books||1958|320 pp.|Ilus - Mps|||||||||||
Anónimo|||Antiquities unearthed during the Great Proletarian Cultural Revolution|||Primera||||||||32 pp.|Fts|||||||||||
Chai|Ch'u|Winberg Chai|The changing society of China|||Primera|||Estados Unidos|The New American Library|Mentor Books||1962|253 pp.||||||||||||
Wheeler|Geoffrey||Problemas raciales en el Asia soviética musulmana|||2a.||Trad. Por Mireya Reilly de Fayard|Argentina|Editorial Universitaria de Buenos Aires|Biblioteca Asia y África||1964|92 pp.|Cuad - Mps|||||||||||
Spellman|John W.||Political theory of ancient India|||Primera|||Gran Bretaña|Clarendon Press - Oxford University Press|||1964|288 pp.|Fts - Mps|||||||||||
Coronado|Gabriela|et. al.|Continuidad y cambio en una comunidad bilingüe|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Colección Miguel Othón de Mendizábal|3|1984|148 pp.|Mps|||||||||||
Celorio Blasco|Eduardo|Gloria R. de Bravo Ahuja|Guía para el promotor bilingüe bicultural|||2a.|||México|Centro de Investigación para la Integración Social|||1978|61 pp.|Ilus - Cuad|||||||||||
Hernández Demeza|Ignacio||Ja junini ta tseltal|||Primera|||México|Secretaría de Educación Pública|||1981|168 pp.|Ilus - Fts|||||||||||
Zavala|Mauricio||Gramática maya|||Primera|||Mérida|José Díaz-Bolio|SepSetentas|124|1974|90 pp.||||||||||||
|||Xcuent susläii con golguisaj|||Primera|||México|Secretaría de Educación Pública - Instituto Lingüístico de Verano|||1970|16 pp.||||||||||||
Harvey|Herbert R.||Términos de parentesco en el otomangue|||Primera|||México|Instituto Nacional de Antropología e Historia|Publicaciones|13|1963|38 pp.|Cuad|||||||||||
