Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
||||La situación geográfica de México (Derechos humanos de los indígenas)|||Primera|||México, D.F|CONAPO|||2000|282|Cuadros y mapas
||||Un rhal-la yaxheate ge ttu´tu ka benni gerhiu (Derechos humanos de los indígenas)|||Primera|||México, D.F|CNDH|||1996|20|
||||Kaa nnau machi yoemieta luturiam (Derechos humanos de los indígenas)|||Primera|||México, D.F|CNDH|||1996|18|
||||No turhisi uandariicheri janaharhikuecha (Derechos humanos de los indígenas)|||Primera|||México, D.F|CNDH|||1996|26|
||||widii ayuuk jaay piayoob ko menaaky kyundegooy o ko ooy yaj tsatsy kyuny (Derechos humanos de los indígenas)|||Primera|||México, D.F|CNDH|||1996|18|
||||jáimé ti!irhá!achaí y teíte ti í na!allárhí (Derechos humanos de los indígenas)|||Primera|||México, D.F|CNDH|||1996|6|
||||Ka benni rhuyu rhuwia ge ttu´turhiu (Primeros auxilios para la protección de la libertad personal)|||Primera|||México, D.F|CNDH|||1996|14|
||||shahchibal coltayeletic scolttaybeyel scolel swinquilel lum (Primeros auxilios para la protección de la libertad personal)|||Primera|||México, D.F|CNDH|||1996|11|
||||Kótsekua anapu k´uiripuecheri jananarhpekua niátakua k´uiripu kuájpekua jarhoatakuarhirakua (Primeros auxilios para la protección de la libertad personal)|||Primera|||México, D.F|CNDH|||1996|14|
||| |Di´na nchaa sa chindeiña´aude kuenda kundeku livre va´a inkaa ñayivi (Primeros auxilios para la protección de la libertad personal)|||Primera|||México, D.F|CNDH|||1996|12|
||||Matiari heima nuiya me iwiyarieti me ka nanaimarieti tueteri|||Primera|||México, D.F|CNDH|||1996|14|
Olvera Treviño |Consuelo|||Elementos del debate actual de la Educación para la tolerancia y la interculturalidad|||Primera|||México, D.F|CNDH|||2000|31|
Olvera Treviño |Consuelo|||Educación para la paz|||Primera|||México, D.F|CNDH|||2000|20|
Olvera Treviño |Consuelo|||La educación en derechos humanos y su papel en la reorientación de las políticas educativas|||Primera|||México, D.F|CNDH|||2000|20|
||||Las costumbres jurídicas de los indígenas en México|||Primera|1997||México, D.F|CNDH|||1994|117|Cuadros
||||Quality|||Primera|||New York|Population Council|||2000|32|Fotos
Valdés|Luz María|||Memoria||I|Primera|||Querétaro, Méx.|UNAM|||1986|[54]|Cuadros
||||Backgrounder||||||Washington, D.C|The Heritage Foundation||373|1984|15|
Villela |Samuel|Silvia Gastélum||Transculturación chicana en bandas juveniles de Sinaloa|||Primera|||Culiacán, Sinaloa|Universidad Autónoma de Sinaloa|||1980|36|Fotos
Castellanos |Rosario|||Mi libro de lectura|||Segunda|||México, D.F|INI|||1977|132|Ilustraciones
Chanlett|Eliska||Editora|Un glosario de ciertos términos demográficos||||||North Carolina|POPLAB|||1974|132|
Figueroa Valenzuela|Alejandro|||Identidad étnica y persistencia cultural. Un estudio de Sociedad y de la cultura de los yaquis y de los mayos|||Primera|||México|El Colegio de México|||1992|400|Cuadros
Luria|Alexander R.|||El papel del lenguaje en el desarrollo de la conducta|||Primera|||México, D.F|Editorial Cartago|||1982|109|Ilustraciones
CIERA ||||La democracia participativa en Nicaragua|||Primera|||[Nicaragua]|CIERA|||[1984 C.A 1985]|160 [102]|Cuadros
López Austin|Alfredo|||Los mitos del Tlacuache|||Cuarta|2006||México, D.F|UNAM|||1998|514|Ilustraciones
Nava L.|E. Fernando|||El campo semántico del sonido musical p´urhépecha|||Primera|||México, D.F|INAH|Colección Científica||1999|168|Cuadros, mapas, Fotos
Grosser Lerner|Eva|||El que habla nuestra lengua, Dxurji ni nixa ngigua. Chocho de Santa María Nativitas, Coixtlahuaca, Oaxaca.|||Primera|||México, D.F|INAH|Colección Científica||2000|198|Cuadros y mapas
Bravo Ahuja|Gloria||Coordinadora|Manual para la enseñanza oral del Español a hablantes de lenguas indígenas|||Primera|||México|SEP|||1982|219|Cuadros
Bravo Ahuja|Gloria|||La enseñanza del Español a los indígenas mexicanos|||Primera|||México, D.F|Colegio de México||2924|1977|367 [102]|Cuadros, fotos e ilustraciones
Basham |A.L|||The wonder that was India|||Primera|1961||London|Willliam Clowes and Sons|||1954|568|Fotos, mapas e ilustraciones
Swadesh|Mauricio|||Tras la huella lingüística de la prehistoria|||Primera|||México|Universidad Nacional de México||26|1960|145|Cuadros e ilustraciones
Swadesh|Mauricio|||Origen y evolución del lenguaje humano||II|Primera|||México|[Revista Current Anthropology]|||1965|Sobretiro [62-88]|
||||La mujer indígena |||Primera|||Pátzcuaro, Michoacán|Congreso Nacional de Indígenas|||1975|[32]|
||||Nicaragua, Costa Atlantica|||Primera|||México, D.F|CADAL-CIESAS||1|1987|149|
||||Informe de Nicaragua a la FAO|||Primera|||Managua-Nicaragua|CIERA|Colección: Comandante Germán Pomares Ordoñez||1983|109|Cuadros y mapas
Cifuentes |Bárbara|||Lenguas para un pasado, huellas de una nación|||Primera|||México, D.F|INAH-Plaza y Valdéz|||2002|112|
||||Nicaragua: y por eso defendemos la frontera|||Primera|||Managua,Nicaragua|CIERA-MIDINRA|||1984|485|Fotos y mapas
Bregnard |Didier|||Refugiados Guatemaltecos|||Primera|||México, D.F|COMAR|||1985|111|Fotos
Castillo Hernández|Mario Alberto|||El mundo del color en Cuetzalan: un estudio etnocientífico en una comunidad nahua|||Primera|||México, D.F|INAH|||2000|136|Cuadros 
