Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador /Compilador|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
|||Miguel Ánguel Rubio, Saúl Millan, Javier Gutiérrez|La migración indígena en México|||Primera|||México, D.F.|INI, Programa de las Naciones Unidas para el Desarrollo|Serie Migración Indígena||2000|239||1
Gutiérrez Sánchez |Javier|||La migración indígena en la frontera sur|||Primera|||México, D.F.|INI, Programa de las Naciones Unidas para el Desarrollo|Serie Migración Indígena||2000|154||1
||||Chiapas|||Primera|||México, D.F.|Instituto de investigaciones Económicas UNAM, Ediciones ERA|||1995|189||
Boyd |Andrew|||An atlas of world affairs||||1970||Great Britan|Andrew Boyd|||1970|176||1
|||Raquel Barceló, María Ana Portal, Martha Judith Sánchez|Diversidad étnica y conflicto en América Latina||1|Primera|||México|Plaza y Valdés|||1995|253||1
||||Centro de Investigaciones Superiores del INAH|||Primera|||México, D.F.|Centro de Investigaciones Superiores del INAH, Ediciones de La Casa Chata|||1975|||1
||||Geography of China||||||Peking|Foreign Languages Press|||1972|44||1
Tamayo|Jorge I.|||||||Segunda||México, D.F.|Editorial Trillas|||1976|398||1
Guerra Borges|Alfredo|||Compendio de geografia economica y humana de Guatemala|1|||||Guatemala|Instituto de Investigaciones Económicas y Sociales, Universidad de San Carlos de Guatemala|||1981|168||1
Galindo y Villa|Jesús|||Geografia del Distrito Federal y Valle de Mexico|||segunda Edición|||México, D.F.|Editorial Patria|||1961|119||1
Reifler Bricker|Victoria|||El Cristo indígena, el rey nativo||||Primera||México, D.F.|FCE|||1989|528||1
Flores Clair|Eduardo|||El Banco de Avío Minero novohispano|||Primera|||México, D.F.|INAH|||2001|171||1
||||Catálogo de Lenguas Indígenas||||||Aguascalientes, México.||||1990|23||1
Jáuregui O.|Ernesto|||Mesoclima de la Región Puebla- Tlaxcala||||||México, D.F.|UNAM|||1968|29|Mapas y cuadros|1
Commons de la Rosa|Áurea|||Geografía de las divisiones territoriales del estado de Puebla|||Primera|||México, D.F.|UNAM|||1971|77||1
Yañez Reyes|Sergio|||Industria y pobreza urbana en la Ciudad de México|||Primera|||México, D.F.|Porrúa|||2003|194||1
Buelna|Eustaquio|||Compemdio histórico, geográfico y estadistico|||Segunda|||Culiacán, Sinaloa.|Editorial Culiacan|Edición Centenario||1978|158||1
Velázquez|María del Carmen|||Museo Nacional de Antropología- Conferencias||||||México.|INAH- SEP||||31||1
Palerm|Ángel|||Antropología y marxismo|||Primera|||México, D.F.|Editorial Nueva Imagen CIS- INAH|||1980|224||1
Flores Ochoa|Jorge A.|||Los pastores de paratia|10||Primera|||México.|Instituto Indigenista Interamericano|Serie: Antropología Social||1968|159||1
Leonard|Olen E.|||El cambio económico y social|3||Primera|||México.|Instituto Indigenista Interamericano|Serie: Antropología Social||1966|141||
Turnbull|Colin|||The Forest People|||Primera|||Great Britan|Colin M. Turnbull 1961|||1961|239||
Petrescu|Paul|||La habitación campesina en Rumania|||Primera||Carlos R. Margain|México.|SEP|||1974|167||1
Benitez|Fernando|||La ryta de Hernán Cortés|||Tercera|||México.|FCE|||1964|308||1
Dandler H.|Jorge A.|||El sindicalismo campesino en Bolivia|||Primera|||México.|Instituto Indigenista Interamericano|Serie: Antropología Social||1969|197||1
Cassirer|E.|||Las ciencias de la cultura|||Segunda|||México.|FCE|||1955|191||1
