Apellidos de autor|Nombre de autor|Segundo autor, nombre y apellidos|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Num de edición |Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número| Año|Núm de páginas|Ilustraciones, fotos, cuadros, mapas|Cantidad
Aloaza Garrido|Elena|||Los niños de la correccional:fragmentos de vida|||Segunda|||México|Ciesas|||1995|79||
Sánchez Angeles|Raúl|José Vitelio García Maldonado||Sociología Rural|||Primera|||México|Oasis S. A.|||1969|227||
I.Blauberg||p. Kopnin/ I. Pantin||Breve Diccinario Filosofico |||Primera||E. Cortes|México|Sapiens|||1972|190||
Allba |Victor|||Las ideas sociales contemporaneas en México|||Primera|||México/Buenos Aires|Fondo de Cultura Economica|Tierra firme||1960|473||
Barajas Medina|Jorge|||El hombre el trabajo y la administración|||Segunda|||México|Diana|||1979|151||
Muñoz Elizondo|Esperanza|Juan José Yoseff Bernal||Violencia Social y menores de edad|||Primera|||México||||2003|297||
Barker|Ernest|||Principles of Social and Political Theory|||Segunda|||(Inglaterra)|Oxford University press|||1956|284||
Medina Echavarria|Jose||Jorge Graciarena|La obra de Jose Medina Echavarria|||Primera|||Madrid|Ediciones Cultura Hispanica|||1980|676||
Halbwachs|Maurice|||Las clases sociales|||Tercera||Max Aub|México|Ediciones Cultura Hispanica|||1964|214||
Harnecker|Marta|Grabriela Uribe||Socialismo y Comunismo|||Primera|||Córdoba|C.E.P|||1973|63||
Bijovski|Bernard|||La transformacion del hombre|||Primera|||Moscú|Agencia de prensa Nóvosti Moscú||||62||
Sartre|Jean Paul|||La imaginación |||Primera||Carmen Dragonetti|Buenos Aires|Sudamericana S.A.|||1967|129||
Rozental |Eduard|||El hombre sus ideales y la realidad|||Primera|||Moscú|Agencia de prensa Nóvosti Moscú||||163||
Budish|Jacob M.|||¿El nuevo comunismo una nueva etapa? |||Primera|||México|Grijalbo S.A.|||1967|158||
Othón de Mendizálbal|Miguel|Andrés Molina Enríquez||Las clases sociales en México|||Primera|||México||Tlapali|||114||
Mascos|Patricio|||Sociológia coceptos|||Primera|||México|Edicol|||1977|127||
Buenrostro Ceballos|Alfredo Félix|||Memoria del Congreso Internacional sobre fronteras en Iberoamerica ayer y hoy|I||Primera|||||||1990|||
Oakley|Kenneth P.|||Man the Tool-Maker|||Quinta|||London|The British Museum (Natural History)|||1967|98|Foto e ilustración |
Etzioni|Amitai|Eva Etzioni||Los cambios sociales - Fuents, tipos y consecuencias|||Primera|||México|Fondo de cultura económica|||1969|452||
García de León |Antonio|||Resistencia y utopía|2||Primera|||México|Era|Problemas de México||1996|295|Foto |
Esteva Fabregat|Claudi|||Estado, etnicidad y biculturalismo|||Primera|||Barcelona|Península|||1984|235||
Marini||||Critica al analisis de la dependencia latinoamericana|||Primera|||Argentina|Cuervo||||45||
Arriola|Jorge Luis|||Guatemala Indigena||III|Primera|||Guatemala|José de Pineda Ibarra|||1963|187||
Rozhin||||Introducción a la sociología marxista|||Quinta|||México|Edicioes de cultura popular|||1977|261||
Hosea|Jaffe|||Del tribalismo al socialismo|||Primera||Stella Mastrangelo|México|Galache s.a|||1976|389||
Moscoso Pastrana|Prudencio|||Las cabezasrodantes del marSegund|||Segunda|||México|Miguel Angel Porrua|||1991|198||
Lemert|Edwin M|||Human deviance, social problems,& social control|||Primera|||New Jersey|Neil J.Smelser |||1967|211||
C. Wrigth|Mills|||La imaginación sociologica|||Primera||Florentino M. Torner|México|Fondo de cultura económica|||1961|236||
Timasheff|Nicholas S.|||La teoría Sociológica|||Primera||Florentino M. Torner|México|Fondo de cultura económica|||1961|397||
Poviña|Alfredo|||Historia de la sociológia en Latino America|||Primera|||México|Fondo de cultura económica|||1941|234||
Gómez Ramírez|Martín|||Ofrenda de los ancestros en Oxchuc, Xlimoxna neel jme´tatik Oxchujk|||Segunda|||México|Talleres gráficos del Estado Tuxtla Gutierrez|||1991|231|Fotografías y dibujo|
Parsons|Talcott||Compilador|La sociología norteamericana contemporanea |||Primera|||Argentina|Paidos S.A.I.C.F|||1969|303||
Gorz||||Historia y enajenación |||Primera||Julieta Campos|México|Fondo de cultura económica|Tiempo presente||1969|350||
Pingaud |Bernard|Pierre Trotignon, Raymond Bellour y Jean-Paul Sarte||Sartre: El ultimo Metafísico|||Primera||Lía M. Andrada |Argentina|Paidos S.A.I.C.F|||1968|154||
Bottomore|T.B|||Introducción a la sociología |||Cuarta||Jordi Solé-Tura|Barcelona|Península|||1968|405||
Sartre|Jean Paul|||Marxismo y existencialismo |||Primera|||Argentina|Talleres gráficos Cadel|||1963|109||
||||Reforma agraria integral en Venezuela|||Primera|||México|(FAO)|||1960|108||
Jacoby|Erich H|||Relaciones entre la reforma agraria y el fomento agricola |||Primera|||Roma|(FAO)|||1954|65||
Teilhard de Chardin|Pierre|||El grupo Zoológico Humano|||Primera||Carmen Castro|Madrid|Taurus|||1957|159||
Cordry |Donald B. y Dorothy M.|||Trajes y tedijos de los indios zoques de Chiapas, México|||Primera|||México|Miguel Angel Porrua|||1988|178|Fotografías |
Mészáros|Istvan||Compilador|Aspectosde la historia y la conciencia de clase|||Primera||Félix Blanco|México|UNAM|||1973|263||
Coser|Lewis A.|Bernard Rosenberg||Sociological Theory|||Primera|||London|Macmillan|||1964|748||
Sorokin|Pitirim|||Teorías Sociológicas contemporáneas|||Primera|||Buenos Aires|Depalma|||1951|864||
Stavenhagen |Rodolfo|Bustamantes, Nolasco Armas, Stern, Reyna||El ingenio del Hombre|||Primera|||México|Continental S.A|||1976|386||
Medina Echavarria|Jose|||La sociología como ciencia social concreta |||Primera|||Madrid|Ediciones Cultura Hispanica|||1980|193||
Cardoso|Fernando H.|||Medina Echavarria y la sociología latinoamericana|||Primera|||Madrid|Ediciones Cultura Hispanica|||1982|159||
Sepúlvera y Herrera|María Teresa|||Procesos por idolatria al cacique, gobernadores y sacerdotes de Yanhuitlán 1544-1546|||Primera|||México|Génesis|||1999|301||
Duncan Mitchell||||A hundred years of sociology|||Primera|||Gran Bretaña|Bristol|||1968|310||
Tomlin|E.W.F.T|||The Oriental Philosophers|||Primera|||New York|Harper & Row|||1963|323||
Bartra|Armando|||Polemica sobre las clases sociales en el campo mexicano |||Primera|||México|Macehual S.A.|||1979|171||
De Vos|Jan|||Las fronteras de la frontera sur|||Primera|||México|Ciesas|||1993|177||
Rodríguez Sala|María Luisa|||Científicos y actividad científica en la zona fronteriza del norte de México|||Primera|||México|UNAM|||1990|142||
