Apellidosdel autor|Nombre del autor|Segundo autor, nombre y apellido|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Num. de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número|Año|Num de paginas|Ilustraciones, fotos, mapas |Cantidad
Maciel|David|||La clase obrera en la historia de México|||Segunda||Félix Blanco|México|Siglo XXI |||1984|234||
Ortiz Petricioli|José|||La tragedia del siete de enero|||Segunda|||México|Cehsmo|||1977|86||
Quíjano|Aníbal|||Crisis imperialista y clases obrera en américa latina|||Primera|||Peru|Perugraph Editores S.A|||1974|117||
Godio|Julio|||Los orígenes del movimiento obrero|||Primera|||Argentina|Centro editor de América Latina S.A|||1971|158|Fotos|
Quintero Ramírez|Cirila|||La sindicalización en las maquinas tijuanese|||Primera|||México|Consejo Nacional para la cultura y las artes|||1990|246||
Coser|Lewis A|||Las funciones del comflicto social|||Primera||Bertha Bass|México|Fondo de cultura económica|||1961|214||
Hawley|Amos H.|||La estructura de los sistemas sociales|||Primera||Juan Díez Nicolás|España|Editorial tecnos, S.A|Semilla y suerco||1966|223||
Aziz Nassif|Alberto|||El estado mexicano y la CTM|||Primera|||México|Ediciones de la casa chata|||1989|345||
Robles|Jorge|Luís Angel Gómez||De la autonomía al corporativismo |||Primera|||México| El atajo ediciones|||1995|169||
Montiel |Yolanda|||Proceso de trabajo, acción sindical y nuevas tegnologias volkswagen de México|||Primera|||México|SEP|Miguel Othón de Mendizábal||1991|263||
Reygadas|Luis|||Un Rostro moderno de la pobreza|||Primera|||México|SEP|||1992|91||
Arroyo Irigoyen|Luz Elena|Maria del Carmen Barrreneche||El cambio social en el sureste de México: dos estudios |129|6|Primera|||México|Ediciones de la casa chata|||1985|82||
Lombardo de Ruiz|Sonia||Coordinadora|El quehacer de censar|||Primera|||México|INAH|||2006|139||
Boldó|Daniel|Mariana Yampolsky||Matemáticas primaria intennsiva para adultos|||Segunda|||México|SEP|||1976|319||
Meza |Armando|||Fábrica y poder|96||Primera|||México|Ediciones de la casa chata|||1984|138||
Radkua|Verena|||La fama y la vida, una fabrica y sus obreras|108||Primera|||México|Ediciones de la casa chata|||1984|110||
Radkua|Verena|||Notas acerca de la literarura obrera|93||Primera|||México|Ediciones de la casa chata|||1983|89||
Agostoni|Jorge||Coordinador|Obreros somos, expresiones de la cultura obrera|||Primera|||México|SEP|||1984|126|Fotos|
Estrada Iguíniz|Margarita |||Heterogenidad y calificación ente obreros  de azcapotzalco |10||Primera|||México|SEP|Miguel Othón de Mendizábal||1990|122||
Chávez Alvarez|Ernesto||Editor|Los obreros hacen y escriben su historia |||Primera|||Cuba|Editorial de ciencias sociales, La Habana Cuba|||1975|388|Fotos|
Yampolsky |Mariana|María de Lourdes Alcalá|Editoras|Manual del instructor comunitario|||Sexta|||México|CONAFE|||1980|286|Fotos|
Rockwell|Elsie||Coordinador|Manual del instructor comunitario|||Cuarta|||México|CONAFE|||1982|275||
Canseco González|Silvia||(Recopilación)|Programa de gestión ambiental de sustancias tóxicas de atención prioritaria|||Primera|||México|SEMARNAP|||1997|126||
||||Las comunidades agrarias VII censo agropecuario, 1991|||Primera|||México||||1994|166||
Hernadéz|Salvador|||Magonismo y movimiento obrero en México: Cananea y Rio Blanco|31||Primera|||México|Facultad de Ciencias Politicas y Sociales|||1977|79||
Escalante Dominguez|Luis Felipe|||La enseñanza de la física en el nivel básico de la educación media||||||México||||1976|80||
Middlebrook |Kevin J.|||Unions, Workers, and the state in México|||Primera|||USA|University of California, San Diego|||1991|246||
||||La población de México en el nuevo siglo|||Primera|||México|CONAPO|||2001|261||
Robles|Rosario|||III informe de gobierno|||Primera|||México|Gobierno del Estado de México|||2000|238||
||||"Cuadernos de demografia indigena ""Quintana Roo 1980"""|||Primera|||México|Instituto nacional indigenista|||1991|||
||||"Cuadernos de demografia indigena ""Tabasco"" 1980"""|||Primera|||México|Instituto nacional indigenista|||1991|||
||||"Cuadernos de demografia indigena ""Yucatan"" 1980"|||Primera|||México|Instituto nacional indigenista|||1991|||
||||"Cuadernos de demografia indigena ""San Luis Potosi"" 1980"|||Primera|||México|Instituto nacional indigenista|||1991|||
||||"Cuadernos de demografia indigena ""Veracruz"" 1980"|||Primera|||México|Instituto nacional indigenista|||1991|||
||||"Cuadernos de demografia indigena ""Sinaloa"" 1980"|||Primera|||México|Instituto nacional indigenista|||1991|||
||||Cuaderno de información oportuna|||Primera|||México|INEGI|||1993|174||
Thompson|Edward|||La formación de la clase obrera  (Inglaterra: 1780-1832)|1||Primera||Angel Abad|Barcelona|Editorial Laia, S.A|||1977|251||
Thompson|Edward|||La formación de la clase obrera  (Inglaterra: 1780-1832)|2||Primera|||Barcelona|Editorial Laia, S.A|||1977|366||
Thompson|Edward|||La formación de la clase obrera  (Inglaterra: 1780-1832)|3||Primera|||Barcelona|Editorial Laia, S.A|||1977|570||
Zamora |Emilio|||El movimiento obrero mexicano en el sur de Texas 1900-1920|||Primera|||México|SEP|||1986|205||
Hernandez Camacho|Benjamín||Editor|Recuento crónica y análisis de la lucha obrera|||Primera|||México|Machehual|||1980|192||
Stavenhagen |Rodolfo|Francisco Zapata||Puntuario de estadisticas educativa indigena|||Primera|||México|SEP|||1986|36||
||||Sistema de Relación obrero-patronales en América Latina|||Primera|||México|Colegio de México|||1974|42||
||||Estadisticas de salud de la frontera México-Estados Unidos|||Primera|||El Paso Texas|Organización Pananmericana de la Salud|||1990|139||
Savage|Charles H|||Social Reorganization in a Factory in the Andes||||||New York|Coronell University|||1964|22||
||||Cuautla Estado de Morelos, Cuaderno estadistico municipal |||Primera|||México|INEGI|||1994|106||
||||Cuautla Estado de Morelos, Cuaderno estadistico municipal |||Primera|||México|INEGI|||1995|115||
||||Cauderno de demografia indigena||||||México|IBAI|||1990|||
Maldonado S.|Braulio |||||||||||||1963|93||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
|||||||||||||||||
