Apellido del autor|Nombre del autor|Segundo Autor, nombre y apellido|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número|Año|Num de paginas|Ilustraciones, fotos, mapas |Cantidad
Havel|J-E.|||La condición de la mujer|||Primera||Leonor Spilzinger|Argentina|Editorial niversitaria de Buenos Aires|||1965|191||
Chabaud|Jacqueline|||Educacion y promocion de la mujer|||Primera|||México|SEP|||1975|174||
Newbold de Chiñas|Bervely|||Mujeres de San Juan|||Primera||Antonieta Sánchez Mejorada|México|SEP|||1975|159||
Correa Zapata|Dolores|||La mujer en el hogar |||Primera|||México||||1898|180||
Castellanos|Rosario|||Mujer que sabe latín|||Primera|||México|SEP|||1973|213||
Leroy|Maurice|||Las grandes corrientes de la linguístia|||Primera||Juan José Utrilla|México|Fondo de Cultura Económica|||1969|190||
Moorhouse||||Historia del alfabeto|||Primera|||México|Fondo de Cultura Económica|||1961|307||
Buhler|Karl|||Teoria del lenguaje|||Tercera||Julián Marías|España|Revista de Occidente, S.A|||1967|622||
Townsend |Cameron|||Hallaron una lengua común|||Primera|||México|SEP|||1974|157|Fotos y mapas|
Mañé|Juan||Coordinador|Revolución en la lingüística|||Primera|||México|Salvat editores, S.A|||1973|141|Ilustaciones y fotos|
Carbó|Teresa|||La comunicación humana|||Primera|||México|SEP|||1981|70|Ilustración|
Terrazas|Fernando|||Lenguaje|||Primera|||México|Ediciones Oasis, S.A|||1969|358|Ilustraciones y fotos|
Azcoaga|Juan E.|||Del lenguaje al pensamiento verbal|||Segunda|||México|Editorial el Atenco, S.A|||1981|199||
Lope Blanch||||El lexico indigena en el español de México|||Primera|||México|El colegio de México|||1969|75||
Bravo Ahuja|Gloria|||Los materiales didácticos para la enseñanza del español a los indígenas mexicanos|||Primera|||México|Editorial Melo, S.A|||1976|135|Ilustraciones|
Fernández Guerra|Angel L.||Editor|Colección de articulos de lingüística|||Primera|||Cuba|Editorial de las ciencias sociales|||1980|185||
