Apellidos de autor|Nombre de autor|Segundo autor, nombre y apellidos|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Núm. de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número| Año|Núm. de páginas|Ilustraciones, fotos, cuadros, mapas|Cantidad|Cantidad
López González|Juan|||Peregrinación de nuestros antepasados|||Primera|||México|Gobierno del Estado de Chiapas|||2003|227|Fotos ||
Thompson|J. Eric S.|||Arqueología Maya|||Primera|1971||México|Editorial Diana|||1965|271|Ilustraciones y fotos||
De Castro|Josué |||Geopolítica del hambre |||Cuarta|||Argentina|Ediciones Solar|||1970|409|Fotos ||
Nesturj|M. F.|||Las razas humanas|||Primera|||Rusia|Editorial Progreso ||||116|Fotos ||
Sigerist|Henry E.|||Civilización y enfermedad |||Primera|||México|Fondo de Cultura Económica|||1946|287|Ilustraciones y fotos||
Rivet |Paul|||Octogenario Dicata|||Primera|||México|UNAM|||1958|707|Ilustraciones, fotos y mapas||
Matías Alonso|Marcos|Constantino Medina Lima||Vocabulario Náhuatl-Español de Acatlán, Guerrero|||Primera|||México|Ciesas|||1995|85|||
Davalos |Marcela| Necoechea, Reina, Turner|Coordinadores|Una mirada al fondo de la historia|||Primera|||México|Yeuetlatolli, S.A.|Ahuehuete||2003|369|||
A. Pérez |Elías||(Texto)|El hombre primitivo|||Primera|||México|Instituto Nacional Indigenista|||1964|30|Ilustraciones ||
Forbes|R. J.|||Historia de la técnica|||Primera||Julio Luelmo|México|Fondo de Cultura Económica|||1958|339|Ilustraciones ||
Guerra Borges|Alfredo|||Compendio de geografía económica y humana de Guatemala|II||Primera|||Guatemala|Guatemala, C.A.|||1981|348|Ilustraciones y mapas||
Stavenhagen|Rodolfo|||Conflictos Étnicos y Estado Nacional|||Primera||Martha Alicia Bravo|México|Siglo veintiuno editores, S.A.de C.V|||2000|396|||
Martínez del Rio|Pablo|||La Comarca Lagunera a fines del siglo XVI y Principios del siglo XVII|||Primera|||México|Universidad Nacional Autónoma de México - Instituto de Historia |||1954|124|||
Clavijero |Francisco Xavier|||La  cultura de los mexicanos |||Primera|||México|Editorial Planeta Mexicana, S.A de C.V|||2002|93|||
Aoyama|Leticia Reina|||Caminos de luz y sombra|||Primera|||México|Centro de investigaciones y Estudios Superiores |||2004|328|Ilustraciones, fotos y mapas||
Jara|Álvaro||Editor|Tierras nuevas|||Primera|||México|El Colegio de México|||1969|138|||
Hu-DeHart|Evelyn|||Adaptación y resistencia en el Yaquimi|||Primera|||México|Ciesas|||1995|124|Ilustraciones, fotos y mapas||
Thorndike |Robert L.|Elizabeth Hagen||Tests y técnicas de medición en psicología y educación|||Primera|||México|Editorial Trillas|||1970|733|||
Dufrenne|Mikel|||La personalidad básica un concepto sociológico |||Primera|||Argentina|Editorial Paidos|||1959|290|||
INEGI||||Jalisco- Hablantes de Lenguas Indígenas |||Primera|||México|INEGI|||1996|83|Cuadros||
INEGI||||Nayarit - Hablantes de Lenguas Indígenas |||Primera|||México|INEGI|||1996|91|Cuadros||
Instituto de geografía unam||||Quintana Roo: Problemas y perspectivas |||Primera|||México|Editorial y Litografía Regina de los Ángeles, S.A.|||1980|384|Cuadros||
INEGI||||Oaxaca - Hablantes de Lenguas Indígenas|||Primera|||México|INEGI|||1993|256|Mapas y cuadros|2|
Alcántara Berumen |Armando|||Entre tramas y urdimbre (Tesis)|||Primera|||México|INAH - SEP|||1998|201|Ilustraciones y fotos||
Moreno Derbez|Carlos|||Conflico agrario y organización campesina. Los cambios al artículo 27 en el estado de Oaxaca.|||Primera|||México|INAH - SEP|||2000|201|Cuadros||
INEGI||||Resultados definitivos tabulados básicos|||Primera|||México|INEGI|||1996|269|Cuadros||
Augé|Claude|||Pequeño Larousse Ilustrado|||Vigésima segunda ||||Librería Larousse|||1938|1528|Ilustraciones ||
E. Shteerman||B. Sharevskaia||El régimen esclavista|||Primera|||Argentina|Editorial Cartago|||1965|141|Ilustraciones, fotos y mapas||
Boehm|Brigitte|||Formación del estado en México Prehispánico|||Primera|||México|Ciesas|||1984|26|||
INEGI||||Estadísticas del Medio Ambiente |||Primera|||México|INEGI|||1998|461|Ilustraciones, mapas y cuadros||
Thompson|Laura|||Personality and Government|||Primera|||México|Instituto Indigenista interamericano|||1951|229|||
Jardon A.|Edmundo|||De la ciudadela a Tlatelolco |||Primera|||México|Fondo de cultura popular |||1969|402|||
