Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Maciel|David R.|Jose Guillermo Saavedra|Al norte de la frontera: el pueblo chicano|||||Sandra Rodríguez S./ Diana Joan Spratt W./ Ofelia Reyes Retana|México|CONAPO||1988|468||1
|||Los ejidos del Estado de México/ Catálogo||||||Toluca, México.|Dirección de agricultura y ganadería/ Gobierno del Estado de México||MCMLVIII|1027||
Eisenstadt|S. N.||Essays on Comparative Institutions||||||USA|John Wiley & Sons, Inc.||1965|375||1
Melgarejo Vivanco|José Luis||Antropología|||Primera|||Veracruz, México.|Escuela Normal Veracruzana||1973|206||1
|||Teoría e investigación en la antropología social|||Primera|||México|CIESAS||1988|362||1
De Lizana|Bernardo||Historia de Yucatán|||Primera|||España|Información y Revistas||1988|288||1
Acuña|René||Relaciones geográficas del siglo XVI: Antequera|II||Primera|||México|UNAM||1984|337||1
Huntington|Ellsworth||Las fuentes de la civilización|||Primera|||México|FCE||1949|694||1
González Santos|Armando||La agricultura|||Primera|||México|Nacional Financiera||1957|276|2|1
Aguirre Beltrán|Gonzalo||Lenguas vernáculas|||Primera|||México, D.F.|CIESAS||1983|467||1
Goins|John Francis||Huayculi|||Primera|||México|Instituto Indigenista Interamericano||1967|242||1
Castillo Ardiles|Hernán||Estructura y mecanismos de dominación en una región de refugio|||Primera|||México|Instituto Indigenista Interamericano||1970|192||1
Steiner|Stan||La raza, the mexican americans||||||Toronto|Stan Steiner||1970|418||1
Oseguera|Andrés||Historia y ernografía entre los chontales de Oaxaca|||Primera|||México, D.F.|INAH||2006|337||1
Jones|Emrys||Geografía humana|||||Antonio Ribera|España|Labor|||248||1
Bazarte|Martínez||El gran teatro de la muerte||||||Zacatecas, México.|Instituto Zacatecano de Cultura||1998|101||1
|||Los distritos de riego del noroeste||||||México|Instituto de investigaciones agrarias||1957|158||1
Gay|José Antonio||Historia de Oaxaca|||Primera|||México, D.F.|Porrúa|"""Sepan cuantos…"""|1986|568||1
|||Estudios Sociologicos|I|||||México|Universidad de Michoacán||1955|566||1
Aguilar|Camín||En torno a la cultura nacional|||Segunda|||México, D.F.|INI||1990|221||1
Moscoso Pastrana|Prudencio||Rebeliones indígenas en los Altos de Chiapas|||Primera|||México, D.F.|UNAM||1992|186||1
García Canclini|Néstor||Consumidores y ciudadanos||||||México, D.F.|Grijalbo||1995|198||1
Mayer|K.B.||Clase y Sociedad||52|Primera||Eduardo Masullo|Buenos Aires, Argentina.|Paidos||1961|170||1
Reynoso|Carlos||Corrientes en antropología contemporánea|||Segunda|||Argentina|Biblos||1998|352||1
Bohannan|Paul|Mark Glazer|Antropología Lecturas|||Segunda|||España|McGraw- Hill Inc.||1993|570||1
Coronado|Rodolfo|Eugeni Porras|Miradas antrológicas sobre el norte de México|||Primera|||México|ENAH||2003|214||1
Vallois|Henri||Las razas humanas||||||Argentina|Editorial Universitaria de Buenos Aires||1964|103||1
Lombardi Satriani|Luigi Maria||Apropiación y destrucción de la cultura de las clases subalternas|||Primera||Eduardo Molina|México, D.F.|Nueva Imagen||1978|193||1
Vallois|H.|A. Vandel|Los procesos de hominizacion|||Primera||||Grijalbo||1969|156||1
Ramírez Rozzi|Fernando||El dónde, cuándo y cómo del origen del hombre||||||Argentina|Ediciones Colihue||2001|148||1
Bilbao|Elena|María Antonieta Gallart|Los Chicanos|||Primera|||México|Nueva Imagen||1981|258||1
Geertz|Clifford||Reflexiones antropológicas sobre temas filosóficos||||||España|Paidós||2002|276||1
Gómez Ramírez|Martín||Abasolo, sistema de cargos municipales|||Primera|||México|Consejo Estatal para la Cultura y las Artes de Chiapas||1999|228||1
Kruger|Hilde||Malinche o el adiós a los mitos|||Segunda|||México, D.F.|||1946|94||1
Martinez|Jose Luis||Nezahualcoyotl|||Primera|||México|SEP||1972|201||1
Escobar|Gabriel||Organización social y cultural del sur del Peru|||Primera|||México|Instituto Indigenista Interamericano||1967|250||
Acuña|René||Relaciones geográficas del siglo XVI: Guatemala|||Primera|||México, D.F.|UNAM||1982|359||1
Comas|Juan||Unidad y Variedad de la especie humana|||Primera|||México|UNAM||1967|145||1
