Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad|
Swadesh|Morris|||Observations of pattern impact on the phonetics of bilinguals||||||Menasha, Wisconsin|||||59-65|||Reimpresión de Language, Culture and personality
Gudschinsky|Sarah C.|||Recent trends in primer construction||XI||||[Francia]|UNESCO||2|1959|31|Ilustraciones||Reimpresión de Fundamental and Adult Education
Swartz Nardi|Sulamit|||La mujer Israelí|||Primera|||Jerusalén|"""Crónicas"""||13|1960|19|Fotos||
Graziano|George R.|||Applications of educational technology to language teaching|||Primera|||||||1968|207-219|||
||||Bilingual Bicultural Education|||Primera|||Sacramento, California|California State Department of Education|||1974|44|||
||||Cartilla Maya|||Primera|||Edo. México|SEP||3||134|Ilustraciones||
||||I er cuaderno de trabajo de la cartilla Purépecha||||||[México]|||||84|Ilustraciones||
Sloka Ray|Punya|||Language Standardization|||Primera|||La Haya, Holanda.|Mouton & Co.|||1963|159|Cuadros||
Barth|Fredrik|||Nomads of South Persia|||Primera|||Boston|Oslo University Press|||1961|161|Ilustraciones, cuadros y fotos||
Kuo|Ping-Chia|||The modern world|||Primera|||Londres|Oxford University Press|||1963|128|Fotos||
||||Southwest Indian Country|||Primera|||Menlo, California.|Lane Books|||1970|79|Fotos||
Richardson Fleming|Paula|Judith Luskey||The north american indians|||Primera|||New York |Dorset Press|||1986|256|Fotos||
Edmonson|Munro S.|||Meaning in Mayan Languages||||||La Haya & París|Mounton|||1973|206-233|||
||||Current trends in linguistics||||||[La Haya, Holanda]|Mounton||4||255-274|||
Ross Rensch|Calvin|||Papeles de la Chinantla||VI|Primera|||México, D.F|INAH||10|1968|122|||
Merrifield|William R.|||Papeles de la Chinantla||V|Primera|||México, D.F|INAH||9|1968|127|||
Swadesh|M.|||Indian Lingustic Groups of Mexico|||Primera|||México, D.F|INAH|||1959|14|Mapa||
Gómez Navarrete|Celinda|||Método de Lengua Maya|||Primera|||Yucatán, Mérida|Universidad de Yucatán|||1974|40|||
Watts|Alan W.|||Nature, Man and Woman|||Primera|||Londres|Thames and Hudson|||1958|192|||
||||SCDC Materials an Overview|||Primera|||Austin, Texas|SCDC|||1974|20|||
||||I Seminario Nacional de Educación Bilingüe-Bicultural|||Primera|||México, D.F|Alianza Nacional de Profesionales Indígenas Bilingues|||1979|42|Cuadros||
Aubague|Laurent|Ernesto Díaz Couder et al||Dominación y resistencia lingüística en Oaxaca|||Primera|||Oaxaca|URO-DGCP-IISUABJO|||1983|269|||
