Apellidos de autor|Nombre de autor|Segundo autor, nombre y apellidos|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número| Año|Núm de páginas|Ilustraciones, fotos, cuadros, mapas|Cantidad
Suyin|Han|||The Morning Deluge|||Primera|||Londres||||1972|615|Fotos|
Womack, Jr|John|||Zapata y la Revolución Mexicana|||Primera|||México|SEP|||1985|443||
Ruz Lhuillier |Alberto|||Costumbres funerarias de los antiguos mayas|||Primera|||México|UNAM|||1968|364|Ilustraciones, fotos, mapas y cuadros|
Matute|Álvaro|Carmen Vázquez Mantecón|Editores|Estudios de historia moderna y contemporánea de México||XII|Primera|||México|UNAM||12|1989|302||
Matute|Alberto||Editor|Estudios de historia moderna y contemporánea de México||XIII|Primera|||México|UNAM||13|1990|269||
Manzanilla|Linda|Leonardo López Luján|Coordinadores |Historia Antigua de México (El horizonte Clásico)||II|Segunda|||México|CONACULTA-INAH|||2001|396|Ilustraciones, fotos, mapas y cuadros|
Manzanilla|Linda|Leonardo López Luján|Coordinadores |Historia Antigua de México (El horizonte Posclásico)||III|Segunda|||México|CONACULTA-INAH|||2001|413|Ilustraciones, fotos, mapas y cuadros|
Acuña|René||Edición|Relaciones geográficas del siglo XVI: Nueva Galicia |||Primera|||México|UNAM|||1988|360||
Cosío Villegas|Daniel|||Extremos de México |||Primera|||México|El colegio de México|||1971|588|Fotos|
Pereyra |Lucy|César Silva||Los pioneros del imperialismo alemán México |||Primera|||México|SEP|Ediciones de la casa chata|14|1982|522||
Cole|Sonia|||Races of man|||Primera|||Londres|The British Museum|||1963|131|Ilustraciones, fotos y mapas|
||||México y la Cultura||||||México||||1961|1212||
Meyer |Jean|||Historia de la Revolución mexicana(1924-1928)|||Primera|||México|El colegio de México|||1977|371|Ilustraciones, fotos y cuadros|
Gilly |Adolfo|||La revolución interrumpida |||Décima|||México|El Caballito|||1978|410|Mapas|
Orellana|Ignacio|||Descripción geográfica y estadística del distrito de Cuernavaca, 1826|||Primera|||México|SEP|||1995|113|Mapas y cuadros|
Ortega Noriega |Sergio |||Un ensayo de historia regional- El noroeste de México 1530-1880|||Primera|||México|UNAM|||1993|321|Mapas y cuadros|
Moreno Toscano|Alejandra|||Geografía económica de México(siglo XVI)|||Primera|||México|El colegio de México|||1968|177|Mapas|
Torres |Blanca|||Historia de la revolución mexicana(1940-1952)|||Primera|||México|El colegio de México|||1984|331|Fotos|
Pérez Montfort|Ricardo|||Estampas de nacionalismo popular mexicano |||Primera|||México|Ciesas|||1994|217|Fotos|
||||Traducciones Mesoamericanas |II||Primera|||México|Sociedad Mexicana de Antropología|||1968|257|Ilustraciones y cuadros|
||||Traducciones Mesoamericanas |I||Primera|||México|Sociedad Mexicana de Antropología|||1966|311|Ilustraciones y cuadros|
Fajnzylber|Fernando|Trinidad Martínez Tarragó||Las empresas transnacionales|||Primera|||México|Fondo de Cultura Económica|||1976|423||
Lumholtz|Carl|||El México desconocido|II||Primera|||México|INI|||1981|516|Ilustraciones, fotos y mapas|2
Godelier |Maurice|||Economia, fetichismo yreligión en las sociedades primitivas|||Segunda||Celia Amoros|México|Siglo veintiuno editores|||1978|392|Cuadros|
García Mora|Carlos|Martín Villalobos Salgado|Coordinadores |La antropología en México-Panorama histórico|||Primera|||México|INAH|||1988|424||
||||Suma y epítologia de toda la descripción de Tlaxcala|||Primera|||México|Ciesas|||1994|257||
Konrad|Lorenz|||Hombre y Animal|||Primera|||México|Consejo Nacional de ciencias y tegnólogia |||1975|144||
|||||||Primera|1967||México|Fondo de Cultura Económica|||1964|381||
García Acosta|Virginia ||Coordinadora|Los precios de alimentos y manufactura  Novohispanos|||Primera|||México|Centro de investigaciones y estudios superiores en Antropología Social|||1995|299|Cuadros|
Riberio|Darcy|||Las americas y la civilización|||Tercera|||México|Editorial extemporaneos ,S.A.|||1977|630||
Artís Espriu|Gloria|||Familia, riqueza y poder|||Primera|||México|Ciesas|||1994|157|Cuadros|
Ruvalcaba |Jesús|Ariadne Baroni||Congregacciones civiles de Tulancingo|||Primera|||México|Ciesas|||1994|195||
Douglas|Mary|Baron Isherwood||El mundo de los bienes|||Primera||Enrique Mrcado|México|Editorial Grijalbo, S.A.|||1990|237||
