Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad||
Durán|Manuel||Tríptico mexicano|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|81|1973|173 pp.||||
Perez Rivera|Máximo||La educación escolarizada y los Totonacos: una reflexión|||Primera|||México|Instituto Nacional Indigenista|Etnolingüística |4|1982|202 pp.||||
Estrada|Jesús||Música y músicos de la época virreinal|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|95|1973|165 pp.||||
Ibarbourou|Juana de|Gabriela Mistral et. al.|Tres Poetisas Juana de Ibarbourou, Gabriela Mistral y Alfonsina Storni|||Primera|||México|Editores Mexicanos Unidos|Poesía|6|1983|278 pp.||||
Ferreto|Adela||Crónicas de un tiempo|||Primera|||Costa Rica|Editoriales Costa Rica|||1978|314 pp.||||
|Eurípides||Las diecinueve tragedias|||Primera|||México|Editorial Porrúa|Sepan Cuantos|24|1963|533pp.||||
Rene Castillo|Otto||Vamonos patria a caminar|||Primera|||México|Ediciones Yoloxochitl|||1967|167 pp.||||
Castaneda|Carlos||Las enseñanzas de don Juan|||Primera||Trad. por Juan Tovar|México|Fondo de Cultura Económica|Colección Popular|126|1974|302 pp.||||
García Márquez|Gabriel||Ojos de perro azul|||Primera|||México|Departamento del Distrito Federal Secretaría de Obras y Servicios|Colección METROpolitana||1973|117 pp.||||
Sáenz|Carlos Luis||Pilares del viento|||Primera|||Costa Rica|Editoriales Costa Rica|||1977|96 pp.||||
Gombrowicz|Witold||Ferdydurke|||Primera|||Argentina|Editorial Sudamericana|||1964|259 pp.||||
Proust|Marcel||En busca de sí mismo|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|44|1972|222 pp.||||
Wright |Edward A.||Para comprender el teatro actual|||Primera||Trad. por Margo Glanz|México|Fondo de Cultura Económica|Colección Popular|28|1962|251 pp.||||
Solórzano|Carlos||El teatro hispanoamericano contemporáneo|||Primera|||México|Fondo de Cultura Económica|Colección Popular|61|1964|359 pp.||||
Flaubert |Gustavo||Un corazón simple - La leyenda de San Julián el hospitalario - Herodías|||Primera||Trad. por Hortensia Lemos|Argentina|Centro Editor de América Latina|Biblioteca fundamental del hombre moderno |23|1971|119 pp.||||
Huxley|Aldous||Viejo muere el cisne|||3a.||Trad. por R. Crespo y Crespo|Argentina|Editorial Losada|||1957|226 pp.||||
Alarcón|Pedro Antonio de||El escándalo|||Primera|||México|Editorial Novaro-México|||1958|380 pp.||||
Sáenz|Carlos Luis||Doña Ana primeras lecturas|||Primera|||Costa Rica|Edición de Trejos Hermanos|||1969|122 pp.|ilus|||
Boulnois|Luce||La ruta de la seda|||Primera||Trad. por Antonio Valiente|España|Aymà Editora|Etapas y cumbres de la humanidad||1964|281 pp.|ilus - mps - fts - cuad|||
Manzanos|Arturo| |Apuntes de historia de la música, II|||Primera|||México|SecretarÍa de Educación Pública|Sepsetentas||1975|174 pp.|ilus - fts - cuad|||
Carballido|Emilio||El arca de Noé antología y apostillas de teatro infantil|||Primera|||México|Secretaría de Educación Pública|Sepsetentas||1974|171 pp.|ilus|||
Yáñez|Agustín||Flor de juegos antiguos|||5a.|||México|Organización editorial Novaro|||1967|157 pp.|ilus|||
Arguedas|Sol ||Cuba no es una isla|||Primera|||México|Ediciones Era|Ancho mundo|6|1961|205 pp.|fts |||
Gual|Enrique F. ||La pintura de cosas naturales|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|100|1973|159 pp.|ilus - cuad|||
|Dirección General de Turismo||Calendario de fiestas en México|||Primera|||México|Dirección General de Turismo|||1953|142 pp.| ilus - fts|||
Ballesteros-Gaibrois|Manuel||Trabajos y conferencias seminario de estudios americanistas (facultad de filosofía y letras)|||Primera|||España|Universidad de Madrid|||1958|164 pp.||||
Arguedas|Sol ||Una teología para ateos|||Primera|||México|Universidad Nacional Autónoma de México|||1975|21 pp.||||
Korn|Arthur||La historia construye la ciudad|||Primera||Trad. por Norberto A. Chiesa|Argentina|Editorial Universitaria de Buenos Aires|||1963|234 pp.||||
x|x||Lista de las principales localidades indígenas e indomestizas de Oaxaca. |||Primera|||x|x|x||x|x||||
Sáenz|Carlos Luis||Yorusti |||Primera|||Costa Rica|Editorial Costa Rica|||1980|91 pp.|ilus|||
Collis |Maurice||Marco Polo|||Primera||Trad. por Francisco González Aramburo|México|Fondo de Cultura Económica|Breviarios|105|1955|209 pp.|mps|||
Gonzalez Francisco|Pablo||Educación bilingüe en Mecapalapa, Puebla|||Primera|||México|Instituto Nacional Indigenista|Etnolingüística |19|1982|170 pp.||||
Vargas Llosa|Mario||Los jefes|||3a.|||España|Editorial Bruguera|||1959|124 pp.||||
Lancelyn Green|Roger||Robin Hood|||Primera|||Cuba|Editorial Gente Nueva|||1975|297 pp.||||
|Ministerio de Educación de Cuba||Selección de lecturas|||Primera|||Cuba|Instituto Cubano del Libro|||1974|267 pp.||||
Sembén |Usmán||Los trozos de madera de Dios|||Primera||Trad. por Virgilio Piñera|Cuba|Instituto Cubano del Libro|||1975|396 pp.||||
Naranjo |Carmen||Los perros no ladraron|||Primera|||Costa Rica|Editorial Costa Rica|||1974|208 pp.||||
Lafitte Houssat|Jacques||Trovadores y cortes de amor|||Primera||Trad. por Eugenio Abril|Argentina|Editorial Universitaria de Buenos Aires|||1963|118 pp.||||
Iturriaga|José E.||Lo religioso en el refranero mexicano o como decía mi abuelita|||Primera|||México|Sociedad Cooperativa Publicaciones Mexicanas|||1984|174 pp.|ilus|||
|Ministerio de Educación de Cuba||Antología de la literatura hispanoamericana|II||Primera|||Cuba|Instituto Cubano del Libro|||1970|414 pp.||||
Muñoz|Rafael||Relatos de la Revolucion|||Primera|||México|Secretaría de Educación Pública|||1974|206 pp.||||
Palacio Valdes|Armando||La hermana san sulpicio|||Primera|||España|Bruguera|||1967|446 pp.||||
Jose de Larra|Mariano.||Larra|||Primera|||México|Oasis|Colección Literaria Servet||1962|119 pp.||||
Jose de Larra|Mariano.||Esquilo|||Primera|||Mexico|Oasis|Colección Literaria Servet||1963|127 pp.||||
Faustino Sarmiento|Domingo||Sarmiento recuerdos de provincia|||Primera|||Mexico|Oasis|Colección Literaria Servet||1963|127 pp.||||
Zamora Vicente|Alonso||Gil Vicente|||Primera|||Mexico|Oasis|Colección Literaria Servet||1963|125 pp.||||
Pares|Nuria||Francois Villon|||Primera||Trad. por Nuria Pares.|Mexico|Oasis|Colección Literaria Servet||1965|125 pp.||||
Angel Asturias|Miguel||El señor Presidente|||Primera|||Costa Rica|Universitaria Centroamericana|||1975|430 pp.||||
Olarte Tiburcio|Eleuterio||Analisis del verbo en el totonaco de la costa (region de Papantla, Ver).|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|212 pp.||||
Gonzalez Puc|Jose Javier||El campesino maya de Teabo, Yucatan|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|235 pp.||||
Chi Poot|Maria Bonifacia||Medio siglo de resistencia armada maya: fuentes documentales.|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|319 pp.||||
Marquez Joaquin|Pedro||La penetracion del sistema capitalista y sus consecuencias en la tendencia de la tierra en una parte de la sierra purepecha.|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|301 pp.||||
Lara Hernandez |Vicente||Guia para la enseñanza del hñahñu (otomi) a nivel primaria.|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|233 pp.||||
Martin Con treras|Donaciana||Descripcion de la lengua en Tlacotlapilco, Hgo.|||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|160 pp.||||
Rojas Alta|Maria Antonia Orlanda||Factores que propician el bilinguismo Nauatl - Español en Zoquitlan, Puebla. |||Primera|||Mexico|Instituto Nacional Indigenista|Etnolingüística ||1982|185 pp.||||
