Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Barrera Bassols|Dalia||Condiciones de vida de los trabajadores de Tijuana. 1970-1978|||Primera|||México|Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|Colección científica||1987|142 pp.|Cuad|
Lacoste|Ives||Los países subdesarrollados|||Primera||Trad. Por Carlos Guerrero|Argentina|Editorial Universitaria de Buenos Aires|Cuadernos de EUDEBA|61|1962|63 pp.||
Serrano Carreto|Enrique|et. al.|Indicadores socioeconómicos de los pueblos indígenas de México|||Primera|||México|Instituto Nacional Indigenista - UNDP - CONAPO|||2002|424 pp.|Cuad - Mps|
Klamroth Walther|Erik||El papel del trabajo en el proceso de hominización|||Primera|||México|Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|Colección científica||1987|138 pp.|Ilus - Cuad - Mps|
Marx|Karl||El capital||2|Primera||Trad. Por Manuel Sacristán|México|Grijalbo|Textos Vivos |7|1979|64 pp.||
Marx|Karl||El capital||3|Primera||Trad. Por Manuel Sacristán|México|Grijalbo|Textos Vivos |13|1980|90 pp.||
Nacional Financiera|||La economía mexicana en cifras|||Primera|||México|Nacional Financiera|||1966|278 pp.|Cuad|
Rofer|Francisco||Diccionario de sinónimos de la lengua castellana|||3a.|||México|Editores Mexicanos Unidos|||1974|371 pp.||
Brown|Dan||El código Da Vinci|||Primera||Trad. Por Juanjo Estrella|España|Umbriel|||2003|557 pp.||
Pérez Ruíz|Maya Lorena||¡Todos somos zapatistas! Alianzas y rupturas entre el EZLN y las organizaciones indígenas.|||Primera|||México|Universidad Autónoma Metropolitana|||2000|316 pp.|Cuad - Mps|
Aguilar Valenzuela|Bertha Alicia|Padre David Joseph Beaumont Pfeier|El mensaje de las rocas. Pinturas rupestres en la región pima.|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia - Instituto Sonorense de Cultura - PACMYC|||2004|102 pp.|Fts|
Helm|June||Essays in economic anthropology|||Primera|||Seattle|American Ethnological Society|||1965|139 pp.|Cuad|
de Antuñano|Estevan||Documentos para la historia de la industrialización en México 1833-1846|I||Primera|||México|Secretaría de Hacienda y Crédito Público |||1979|678 pp.|Fts - Ilus|
Nolasco|Margarita||Conquista y dominación del noroeste de México: el papel de los jesuitas|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica||1998|126 pp.|Mps|
Azar|Héctor||Los juegos de azar|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|88|1973|159 pp.||
Alvarez|Alfredo Juan||Puebla|||Primera|||México|Grijalbo|Guías de México||1967||Fts|
Carrillo y Ancona|Crescencio||Compendio de la historia de Yucatán|||Primera|||México|Leandro León Ayala|||1904|72 pp.||
Montenegro|Walter||Introducción a las doctrinas politico-económicas|||Primera|7a.||México|Fondo de Cultura Económica|Breviarios|122|1972|202 pp.||
Besada Ramos|Benito||"Estudio crítico de ""Teoría general"" de Keynes"|||Primera|Primera||Cuba|Editorial de Ciencias Sociales|||1981|129 pp.|Cuad|
Bodenheimer|Susana|et. al.|La inversión extranjera en centroamérica|||3a.|||Costa Rica|Editorial Universitaria Centroamericana|Colección integración||1981|362 ´pp.|Cuad|
