Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Chisholm|Dr. Brock||Diez años de progreso||||||Ginebra, Suiza|OMS |||1958|68|Fotos|
Nárez|Jesús|José Luis Rojas Martínez|Salas de las culturas del Norte de México|||Primera|||México, D.F|INAH|||1996|240|Fotos|
|||Primer informe sobre la situación de la nutrición en el mundo|||Primera|||Washington, DC|Organización Panamericana de la Salud||28|1990|48|Cuadros y mapas|
Nuttall|Zelia||Las tres casas en Coyoacán, atribuidas a Conquistadores|||Primera|||México, D.F|ULM|||1979|30||
Menéndez|Eduardo L.||"Clases subalternas y el problema de la medicina denominada ""tradicional"""|||Primera|||México, D.F|CIESAS|Cuadernos de la casa Chata|32|1980|168||
Galarza|Joaquín|Carlos López Ávila|Tlacotenco Tonantzin Santa Ana. Tradiciones,toponimia, técnicas, fiestas, canciones, versos y danzas|||Primera|||México, D.F|CIESAS|Cuadernos de la casa Chata|49|1982|196|Ilustraciones, cuadros, mapas|
López Ávila|Carlos||Malacachtepec Momoxco|||Primera|||México, D.F|CIESAS|Cuadernos de la casa Chata|53|1982|188|Ilustraciones y mapas|
Menéndez|Eduardo L.|Renée B. Di Pardo|Alcoholismo. Características y funciones del proceso de alcoholización. Alienación, enfermedad o cuestionamiento.|||Primera|||México, D.F|CIESAS|Cuadernos de la casa Chata|56|1982|105|Cuadros |
Menéndez|Eduardo L.||"Medios de comunicación masiva, reproducción familiar y formas de medicina ""popular"""|||Primera|||México, D.F|CIESAS|Cuadernos de la casa Chata|57|1982|202|Cuadros y gráficas|
|||Mesoamérica |||Primera|||México, D.F|SEP-INAH|||1979|224|Cuadros, mapas, fotos e ilustraciones|
De Jesús Montoya B.|José||Departamento de etnología y antropología social|||Primera|||México, D.F|INAH||16|1976|90|Cuadros|
Menéndez|Eduardo L.||Hacia una práctica médica alternativa |||Primera|||México, D.F|CIESAS|Cuadernos de la casa Chata|86|1983|107||
|||Diagnóstico|||Primera|||México, D.F|IMSS|||1995|151|Gráficas y cuadros|
|||Geografía Elemental de Guatemala|||Primera|||México, D.F|ENFOPRENSA|||1984|43|Mapas |
|||Nuestro País|||Treceava|||Costa rica.|LAS AMERICAS LTDA.|||1974|207|Ilustraciones y mapas|
Lotze|Dr. Franz||Geología|||Primera||Trad. Por Johanna Faulhaber|México, D.F|UTEHA||42|1961|195|Ilustraciones|
Buck|Pearl S.||Los Parientes|||Tercera||Trad. Por Elvira Martin|México, D.F|Editorial Cumbre|||1952|348||
Materno|Francisco||Metodología de la Geografía |||Primera|||La Habana, Cuba|PE|||1972|106|Fotos, Ilustraciones y Cuadros|
|||A dos tintas|||Primera|||México, D.F|UNAM|||1993|88|Fotos e Ilustraciones|
Vivó|Jorge A.||Geografía Física |||Sexta|||México, D.F|Herrero Editorial|||1955|349|Fotos e Ilustraciones|
Marsé|Juan||La oscura historia de la prima Montse|||Segunda|||Barcelona, España|Editorial Seix Barral|||1970|348||
Bassols Batalla|Ángel||El noroeste de México|||Primera|||México, D.F|UNAM|||1972|622|Cuadros y mapas|
Rius|Luis||La poesía|||Primera|||México, D.F|ANUIES|||1972|32||
|||Oracion Heretica|||Primera|||||||1973-1974|8|Ilustraciones|
Godinez  Salas|Pedro Martín||Abandono y recuperación de la Tierra en santuario Mapete, Hgo.|||Primera|||México|SEP-INI||29|1982|213|Fotos y mapas|
Poot Canul|Juventino||Le chao yeetel le maya´ob way ti´ quintana rooa/ El chicle y los Mayas de Quintana Roo|||Primera|||México|SEP-INI||30|1982|180|Fotos y mapa|
Arellano Tuz|Santiago||El campesino maya y su economía a partir de la comunidad de Yalcoba, Yuc.|||Primera|||México|SEP-INI||37|1982|135|Mapas |
Luis Orozco|Florinda||Los niños monolingues zapotecas ante la educación primaria|||Primera|||México|SEP-INI||38|1982|107|Cuadros|
Flores Candelaria|José Francisco||La comunidad cívico-religiosa y el poder político mestizo en atempan, Pue.|||Primera|||México|SEP-INI||39|1982|188|Cuadros|
Antonio Joaquín |Jorge||La tierra y los artesanos de Huancito, Mich.|||Primera|||México|SEP-INI||40|1982|125|Cuadros|
Beltran Morales|Filemon||Medicina tradicional en la comunidad zapoteca de Zoogocho, Oax.|||Primera|||México|SEP-INI||41|1982|172|Ilustraciones|
De la Cruz Hernández |Juan||La comunidad indígena en el Tizal, Veracruz, y su lucha por la Tierra|||Primera|||México|SEP-INI||43|1982|193|Mapas |
Romualdo Hernández|Joaquín||Relaciones políticas entre Indígenas y mestizos en Xochiatipan|||Primera|||México|SEP-INI||46|1982|249|Mapas |
Sánchez Vega|Agustín||La tierra y sus problemas en la comunidad de Yahuitlalpan, Zautla, Pue.|||Primera|||México|SEP-INI||48|1982|156|Mapas |
Ortiz López|Pedro Constancio||Análisis morfosintáctico del constituyente nominal del mixteco de Santa María Yucuhiti, Oax.|||Primera|||México|SEP-INI||50|1982|193|Fotos, mapas y cuadros|
Hernández Cuellar|Rosendo||La religión Nahua en Texoloc, municipio de Xochiatipan, Hgo.|||Primera|||México|SEP-INI||51|1982|188||
Elias Ruiz|Sinforoso||Guía practica para la enseñanza de la lengua Purepecha|||Primera|||México|SEP-INI||52|1982|314|Ilustraciones|
De la Cruz Jiménez|Roberto||Descripción del constituyente nominal del Zapoteco de Juchitan Libre, Oax.|||Primera|||México|SEP-INI||53|1982|175|Cuadros|
Allende Tellez|Arturo|Santiago Ramírez Hdez.|Diccionario Totonaco-Español|||Primera|||México|SEP-INI||55|1982|131||
Puig |Luisa ||La estructura del relato y los conceptos de actante y función |||Primera|||México|UAEMéxico|||1978|114|Cuadros|
Piñó Sandoval|Ana||La frontera intangible|||Primera|||México|UAEMéxico||8|1983|60||
Hesse |Herman||El juego de los albalorios|||Segunda||Trad. Por Arístides Gregori|México|Editora Latino Americana|||1964|512||
Monterroso|Augusto||Obras Completas (y otros cuentos)|||Tercera|||México|Editorial Joaquín Mortiz||2423|1971|140||
Gascon Mercado|Dr. Julian||Un manojo de recuerdos|||Segunda|||México, D.F|COSTA-AMIC EDITOR|||1974|153||
Dumas|Alejandro||La reina Margarita|||Segunda||Trad. Por María Emilia Biagosch|Argentina|Editorial Sopena|||1944|286||
Cosío Villegas|Daniel||El estilo personal de gobernar|||Quinta|||México, D.F|Editorial Joaquín Mortiz|||1974|128||
Altamirano Conde |Guillermo||Prisma de relatos|||Primera|||México, D.F|Editorial Libros de México||453|1971|42||
Altamirano |Ignacio M.||Navidad en las montañas|||Cuarta|||México, D.F|Editores Mexicanos Unidos|||1983|130||
Gascon Mercado|Dr. Julian||Pinceladas en el tiempo|||Primera|||México, D.F|B.COSTA-AMIC EDITOR|||1976|123|Ilustraciones|
Marx|Jean||Las literaturas célticas|||Primera||Trad. Por Beatriz Boitman|Buenos aires, Argentina|EUDEBA|||1959|127||
Conde|Rosina||El agente secreto|||Primera|||Mexicali, B.C|Universidad Autónoma de Baja Caifornia|||1990|120|Ilustraciones|
Gascon Mercado|Julian||Las mariposas de otoño|||Primera|||México, D.F|COSTA-AMIC EDITORES|||1980|134|Ilustraciones|
Del Paso|Fernando||José Trigo|||Primera|||México, D.F|Siglo XXI||5185|1996|536||
Castro |Dolores||La ciudad y el viento|||Primera|||Xalapa, Ver.|Universidad Veracruzana||43|1962|111||
Melo|Juan Vicente||Los muros enemigos|||Primera|||Xalapa, Ver.|Universidad Veracruzana||44|1962|133||
Hernández |Luisa Josefina||La calle de la gran ocasión|||Primera|||Xalapa, Ver.|Universidad Veracruzana||41|1962|137||
Véry|Pierre||Los desaparecidos de Saint-Agil|||Primera||Trad. Por Rosalia Vázquez|Barcelona, España|Editores plaza & janes||47|1982|239||
|Valmiki||El Ramayana|||Primera||Trad. Por Juan Guixé|México, D.F|Editora Nacional|||1975|290||
