Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
Vergara Figueroa|Abilio|||Identidades, imaginarios y símbolos del espacio urbano. Quebec, La Capitale|||Primera|||México|EMAHAIA|||2003|297|Ilustraciones
Bueno|Carmen|Encarnación Aguilar||Las expresiones locales de la globalización: México y España.|||Primera|||México, D.F|CIESAS-Miguel Ángel Porrúa|||2003|581|
Bartolomé|Miguel A.|Alicia M. Barabas||Autonomías étnicas y Estados nacionales|||Primera|||México, D.F|CONACULTA-INAH|||1998|470|Mapas y Cuadros
Teja Zabre|Alfonso|||Lecciones de California|||Primera|||México, D.F|UNAM||63|1962|163|
Álvarez|José Rogelio|||Vidrio soplado|||Primera|||México, D.F|Academia Mexicana de Arte Popular|||1969|116|Fotos
||||Los escritores indígenas actuales II|||Primera|||México, D.F|CONACULTA-Fondo editorial tierra adentro |||1992|232|Ilustraciones
||||Los escritores indígenas actuales I|||Primera|||México, D.F|CONACULTA- Fondo editorial tierra adentro |||1992|204|
||||Oraganizaciones indígenas radicadas en la Ciudad de México|||Primera|||México, D.F|Alianza de Organizaciones Indígenas en el D.F|||1999|113|Fotos 
Lugo Olín|María Concepción|||Una literatura para salvar el alma|||Primera|||México, D.F|INAH|Colección biblioteca del INAH||2001|282|
García Miranda|Juan José|Rita Amparo Orrego Bejarano   et al||Antropología: Proceso, mercado y perspectivas|||Primera|||Lima, Perú|Ediciones Azalea|||1997|101|Cuadros
||||Civilización. Configuraciones de la diversidad 1|||Primera|||México, D.F|CADAL-CEESTEM|||1983|423|Cuadros
||||El silencio se mudó al armario |||Primera|||México, D.F|UNAM|||2005|170|
||||Poesía, cuento y fotografía de la flor|||Primera|||México, D.F|Delegación Xochimilco- Gobierno del D.F|||2003|86|Fotos
Bartolomé |Miguel Alberto|||Librar el camino. Relatos sobre antropología y alteridad|||Primera|||México, D.F|INAH-Miguel Angel Porrúa|||2002|204|Fotos
Carr |Edward H.|||¿Qué es la historia?|||Tercera|Décima quinta:Agosto de 2001||Barcelona, España|Editorial Ariel|||1987|217|
López Austin|Alfredo|||Cuerpo Humano e ideología I|||Tercera|1996||México, D.F|UNAM|||1989|490|Ilustraciones
López Austin|Alfredo|||Cuerpo Humano e ideología II|||Tercera|1996||México, D.F|UNAM|||1989|334|Cuadros
||||Plantas medicinales -Recetario Bilingüe |||Primera|1992||México, D.F|IMSS|||1992|71|Fotos
||||Antología del pasado. Una mirada a la memoria del futuro|||Primera|||México, D.F|INAH|||2001|147|Cuadros e Ilustraciones
Esteva Fabregat|Claudio|||La influencia de las universidades indianas en el contexto de las sociedades indigenas|||Primera|||Madrid, España|Editorial complutense|||1992|290|
Pavía Guzmán|Edgar|||Machomula. Población negra en Guerrero|||Segunda|||Chilpancingo, Gro. |El rancho|||1998|39|
Maldonado Alvarado|Benjamin|||Autonomía y comunalidad India|||Primera|||Oaxaca|CONACULTA-INAH-CEDI-CMPIO-Secretaría de asuntos indígenas|||2002|174|
Ballesté |Mercedes|Ana María Hernández||La salud sexual y reproductiva|||Primera|||México, D.F|GIMTRAP|||1996|46|
Ruz|Mario Humberto|||Tabasco: Apuntes de frontera|||Primera|||México, D.F|CONACULTA|||1997|143|Cuadros y mapas
||||Atlas Universal Panorama|||Tercera|1983||México, D.F|Editorial Limusa|||1986|542|Ilustraciones
De Villagutierre Soto-Mayor|Juan|||Historia de la conquista de la provincia de el Itza|||Primera|1984||México, D.F|Centro de estudios de historia de México||38|1985|660|
Bartolomé|Miguel A.|||Configuraciones étnicas en Oaxaca. Perspectivas etnográficas para las autonomías||II|Primera|||México, D.F|INAH-INI|||1999|326|Cuadros y Fotos
Vargas Martínez|Gustavo|||Humbolt en América|||Primera|||México, D.F|El caimán alado|||2001|93|Fotos
Millán|Saúl||Coordinador|La comunidad sin límites||I|Primera|||México, D.F|INAH|||2003|404|Mapas, planos y cuadros
Barabas|Alicia M.||Coordinadora|Diálogos con el territorio||I|Primera|||México, D.F|INAH|||2003|440|Cuadros y Fotos
Barabas|Alicia M.|Miguel A. Bartolomé|Coordinadores|Configuraciones étnicas en Oaxaca. Perspectivas etnográficas para las autonomías||I|Primera|||México, D.F|INAH-INI|||1999|188|Cuadros y mapas
Hervas |Lorenzo|||Catálogo de las lenguas conocidas||I|Primera|||México, D.F|UNAM||21|1979|396|
||||El hombre. Asiáticos occidentales||III|Primera|||México, D.F|UTEHA|||1983|384|Fotos
||||El hombre. Hindues||VII|Primera|||México, D.F|UTEHA|||1983|895|Fotos
||||El hombre. Africanos y oceánicos||IX|Primera|||México, D.F|UTEHA|||1983|1152|Fotos
Mendoza|María Luisa|||Retrato de mi gentedad|||Primera|||México, D.F|SEP-INAH|||1979|107|Fotos
De la paz López|María |Vania Salles|Compiladoras|Familia, género y pobreza|||Primera|||México, D.F|Miguel Ángel Porrúa|||2000|431|Cuadros
Taipe Campos|Néstor Godofredo|||Educación Intercultural: Propuesta para sociedades quechuohablantes|||Primera|||Perú|CEAR|||1998|129|
Mora Vazquéz|Teresa|María Sara Molinari Soriano||Semana Santa en Yanhuitlán|||Primera|||México, D.F|INAH-PYV|||2002|110|Fotos
Mejía Piñeros |María Consuelo|Sergio Sarmiento Silva||La lucha indígena: un reto a la ortodoxia|||Primera|||México, D.F|Siglo XXI|||1987|290|Mapas e ilustraciones
Albert |Lilia A.|Sergio López Moreno et al||Diccionario de la contaminación|||Primera|||México, D.F|Centro de Ecología y Desarrollo|||1995|156|
Buitimea Romero|Cipriano|Teresa Valdivia Dounce||Como una huella pintada|||Primera|||Hermosillo, Sonora|El colegio de Sonora|||1994|85|
Ribes Iborra|Vicente|||Ambiciones estadounidenses sobre la provincia novohispana de Texas|||Primera|||México, D.F|Universidad Nacional de México||7|1982|91|
Pritchard|Evans E.E|||Essays in Social Anthropology|||Primera|||London|Faber and Faber|||1962|233|
