Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador /Compilador|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Barceló|Raquel|María Ana Portal, Martha Judith Sánchez||Diversidad Étnica y conflicto en América Latina||I|Primera||México, D. F.|Raquel Barceló, María Ana Portal, M;artha Judith Sánchez, Plaza y Valdés, UNAM|||1995|253||1
Sandoval Aguilar|Zazil|Teresa Rojas Rabiela (coordinación)||Lenguas Indígenas de México|||Primera||México|Centro de Investigaciones y Estudios Superiores en Antropología Social, Instituto Nacional Indigenista|||1991|130||1
Pineda|Vicente|||Sublevaciones indígenas en Chiapas Gramática y diccionario tzeltal|||||México, D. F.|Instituto Nacional Indigenista||||489||1
Arnson|Cynthia|Raúl Benítez Manaut||Chiapas, los desafíos de la paz|||Primera||México, D. F.|Instituto Tecnológico Autónomo de México Woodrow Wilson International Center For Scholars, Miguel Ángel Porrúa|||2000|289||1
Raven|J. C.|||Test de matrices progresivas, para la medida de la capacidad intelectual||3|Cuarta||Buenos Aires, Argentina.|Editorial Paidos|Biblioteca de Psicometria||1961|55||1
Gómez Tepexicuapan|Amparo|Francisco González Hermosillo||La Evolución del Escudo Nacional|||||México|CONACULTA - INAH|||1997|50||1
||||El Poblamiento de México Una visión histórico demográfica|III||||México|Consejo Nacional de Población - Secretaría de Gobernación|||1993|207||1
||||El Poblamiento de México Una visión histórico demográfica|II||||México|Consejo Nacional de Población - Secretaría de Gobernación|||1993|189||1
|||Raúl Trejo Delarbre (comp.)|Chiapas La guerra de las ideas|||Segunda||México|Diana|||1994|445||1
Melesio Nolasco|Marisol|||Condiciones Sociales, Derechos Humanos y Violencia en las Comunidades Indígenas. (Fotocopias)||||||||||45||
Stizinec|Gabriel|||Todo el Excel 97 en un solo libro|||Segunda||México|Editoríal Trillas|||1999|268||1
Foucault|Michel|||El nacimiento de la clínica|||Doceava|||siglo veintiuno|||1987|293||1
Bassols Batalla|Ángel|||Geografía para el México de hoy y de mañana|||Primera||México|Editorial Nuestro Tiempo|La Cultura al Pueblo||1971|227||1
Barrera Bassols|Dalia|||Guía para la equidad de género en el municipio|||Primera||México|Grupo Interdisciplinario sobre Mujer, Trabajo y Pobreza|||2004|119||1
Malin|K.|||El hambre en el mundo|20||||Buenos Aires, Argentina.|Editorial Cartago|Enciclopedia popular||1965|158||1
Suárez Guevara|Sergio|||Pobreza y riqueza: El antagonismo que explotó en Chiapas|||Primera||México|Instituto de Investigaciones Económicas, UNAM|La estructura económica y social de México||1995|115||
Núñez Becerra|Fernanda|||La Malinche: de la historia al mito|||Primera|1998|México, D. F.|INAH|Colección Divulgación||1996|191||1
Mariategui|José C.|||El I.L.V en México|||Primera||México|Colegio de Etnólogos y Antropólogos Sociales A.C.|||1979|133||1
||||La Migración en México: Indicadores Estadísticos|||Publicación única. Primera edición||Aguascalientes, México.|INEGI|||1997|352||1
