Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
|UNESCO-HERMES bolsilibros de arte||Arte de Oceanía región del sepik|||Primera|||Italia|UNESCO|||1968|32 pp.|Fts - Mps|
|UNESCO-HERMES bolsilibros de arte||Pinturas australianas aborígenes|||Primera|||Italia|UNESCO|||1964|28 pp.|Fts|
Escalante|Roberto||Analisis de estructuras en el códice de Dresde|||Primera|||México|Universidad Nacional Autónoma de México|||1998|90 pp.|Ilus|
Barrelet|Marie-Thérèse|Gérard Hubert|El museo del Louvre|||Primera||Trad. por J. C. Arène|Francia|Editions L'indispensable|||X|239 pp.|Fts - Mps|
|The British Natural History Museum||A short guide to the exhibition galleries of the Natural History Museum |||11a.|||Inglaterra|Trustees of the British Museum (Natural History)|||1964|34 p|Ilus - Fts - Mps|
|Ministry of Public Building and Works||La torre de Londres|||Primera|||Inglaterra|Ministry of Public Building and Works|||1962|30 pp.|Fts - Mps|
|The British Natural History Museum||The British museum guide and map |||Primera|||Inglaterra|Trustees of the British Museum (Natural History)|||1972|48 pp.|Fts - Mps|
Mahieu|Bernard||Notre-Dame de Paris guide descriptif|||Primera||´Trad. por Jaime Muñoz Anatol|Francia|SADAG/Nuevas Ediciones Latinas|||X|30 pp.|Ilus - Fts - Mps|
|W. & J. Mackay & Co Ltd, Chatam||Guide to the British museum|||Primera|||Inglaterra|Trustees of the British Museum (Natural History)|||1967|48 pp.|Fts|
|The British Natural History Museum||Guide to the British museum|||Primera|||Inglaterra|Trustees of the British Museum (Natural History)|||1965|40 p|Ilus - Fts - Mps|
Lorenzo L. |José||Piezas de arte mobiliar en la prehistoria de México|III||Primera|||México|Instituto Poblano de Antropología e Historia |||1969|27 pp.|Ilus - Fts|
Villa Rojas|Alfonso||Arte primitivo forma y contenido en las exhibiciones etnográficas|||Primera|||México|Instituto Nacional de Antropologia e Historia|||1964|26 pp.|Ilus - Fts|
Kichhoff|Paul||La cultura del occidente de México a través de su arte|||Primera|||México|Secretaría de Educación Pública|||1946|22 pp.|Fts|
Campa |Valentin||Mi testimonio memorias de un comunista mexicano|||Primera|||México|Ediciones de Cultura Popular|||1985|406 pp.|Fts|
Aguilera|Carmen||El arte oficial Tenochca su significación social|||Primera|||México|Universidad Nacional Autónoma de México|||1985|167 pp.|Ilus - Fts|
Guichard-Meili|Jean||Cómo mirar la pintura|||Primera||Trad. por Juan-Eduardo Cirlot|España|Editorial Labor|Nueva Colección Labor|14|X|221 pp.|Ilus - Fts|
Fraser|Douglas||Arte primitivo |||Primera||Trad. por José Antonio Rico|México|Editorial Herrero|||1962|320 pp.|Ilus - Fts|
Christensen O. |Erwin||A pictorial history of western art|||Primera|||EUA|Erwin O. Christensen|||1964|479 pp.|Ilus - Fts|
Worringer|Wilhelm||El arte egipcio|||Primera||Trad. por Emilio Rodríguez Sádia|Argentina|Nueva visión|||1959|100 pp.|Ilus - Fts|
Lloyd |Seton||El arte del antiguo medio oriente|||Primera|||España|Thames and Hudson/Librería Ed. Argos|||1952|304 pp.|Ilus - Fts - Mps|
|Asociación Nacional de Universidades e Institutos de Enseñanza Superior México||Estudios fronterizos reunión de universidades de México y Estados Unidos|||Primera|||México|Asociación Nacional de Universidades e Institutos de Enseñanza Superior México|||1981|310 pp.|Cuad - Mps|
Jurado N.|Fernando||Casas del Quito viejo|I||Primera|||Ecuador|Medio Milenio|Colección Medio Milenio|6|1992|132 pp.|Fts - Cuad|
|Gobierno de Cuba||La educación en Cuba|||Primera|||Cuba|Dirección de Producción de Medios de Enseñanza|||1973|417 pp.|Fts - Cuad|
Alejos García|José||El archivo municipal de Tumbalá Chiapas 1920-1946|||Primera|||México|Universidad Nacional Autónoma de México|||1990|310 pp.|Ilus - Fts - Cuad - Mps|
Delibes|Miguel|Ramón Masats|Viejas historias de Castilla la vieja|||Primera|||España|Editorial Lumen|||1964|X|Fts|
Banateanu|T.|M. Fosca|The ornament in the Rumanian folk art|||Primera|||Rumania|Meridiane Publishing house|||1963|X|Ilus - Fts|
Reade|Brian||Aubrey Beardsley|||Primera|||Inglaterra|Her Majesty's Stationery Office|||1966|50 pp.|Ilus|
|Ediciones en Lenguas Extranjeras||El Tibet, hoy|||Primera|||China|Ediciones en Lenguas Extranjeras|||1974|116 pp.|Fts|
