Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Fernández|José Ma.||La República|||||Francisco Márquez|Spain|EDIMAT Libros, S.A.|ObraSelectas|||669||1
|||Introducción al Tequila|||Segunda|||México|Consejo Regulador del Tequila|||2005|153||1
Virchow|Rudolf||Disease, Life, and Man|||||Lelland J. Rather|California, USA.|Stanford University Press|||1958|273||1
Samuel|Maurice||The Professor|||Third|||New York|Alfred A. Knopf, Inc.|||1956|268||1
Edman|Irwin||Four ways of Philosophy||||||USA|Henry Holt and Company, Inc.|||1937|331||1
Nayar|Sheree K.|Tomaso Poggio|Early Visual Learning||||||USA|Oxford Univeersity Press. Ins.|||1996|363||1
Casarett|Alison P.||Radiation Biology||||||USA|United States Atomic Energy Commission Washington, D.C.|||1968|367||1
Den Haag|J.N. Voorhoeve||Spinoza´s Sterfhuis Aan De Paviljoensgracht|||||||||||103||1
Guel Ortíz|Irma||Metodología, fundamentación y operatividad|||Primera|||México, D.F.|Irma Guel Ortíz/ Plaza y Valdés|||1999|109||1
Stevenson|Robert Louis||Vailima Letters||II||||Chicago|Stone and Kimball|||1895|275||1
|Comisión de Propaganda del Partido Comunista Mexicano||Los Cañeros||||||México|Ediciones del Comité Central|||1961|29||1
Cruz Contreras|Alejandra|Norma Esquivel Martínez|"""Sobrevivir o asimilarse"""||||||México, D.F.|ENAH|||2000|143||1
Browning|Robert||Pems||1||||Boston|Robert Browning|||1869|44||1
Haycraft|Howard|John Beecroft|A treasury of Great Mysteries||1||||USA|Howard Haycraft John Beecroft|||1957|576||1
Greene|Hugh||The rivals of Sherlock Holmes|||First|1974||New York|Sir Hugh Greene|||1970|331||1
Halliday||Resnick/ Walker|Fundamentos de física||2|Tercera|||México, D.F.|CECSA|||2001|1218||1
Proust|Marcel||Swann´s way||||1971|C. K. Scott Moncrieff|London|Chatto & windus Ltd|||1971|302||1
Marmolejo Monsiváis|Miguel Ángel||Fauna alimentaria de la península de Yucatán|||Primera|||México, D.F.|INI|||2000|94||1
Stephen|Leslie||Samuel Johnson||||||New York|Harper & Brothers, Publishers||||195||1
Morgenthau, Jr.|Henry||Germany is our problem|||First|||USA|Elinor and Henry Morgenthau|||1945|239||1
|||Real life in London||||||London|Methuen|||1905|425||1
|||Frente a problemas del campo venezolano||||||Venezuela|Publicaciones de la Secretaria General de la Presidencia de la Republica||||92||1
|||Estructura agraria y desarrollo agricola en Mexico|I|||||Mexico|Centro de Investigaciones Agrarias Comité Interamericano de Desarrollo Agricola|||1970|671||1
