Apellido del autor|Nombre del autor|Segundo Autor, nombre y apellido|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número|Año|Num de paginas|Ilustraciones, fotos, mapas |Cantidad
Martínez C.|Leopoldo|||La intervención norteamericana en México 1846-1848|||Quinta|||México|Panorama Editorial, S.A.|Panorama||1989|234||
Trejo|Evelia|||Los límites de un discurso|||Primera|||México|Fondo de Cultura Económica|||2001|453||
Attolini|José|||Economia de la cuenca del papaloapan  agricultura|||Primera|||México|Instituto de investigaciones economicas|||1949|269||
Ortiz Macedo|Luis|||El arte del México virreinal|||Primera|||México|SEP|||1972|141|Fotos|
McQuown|Norman|Julian Pitt-Rivers||Ensayos de antropología en la zona central de Chiapas|||Primera|1990||México|Instituto nacional indigenista |||1990|441||
Sández|Melquiades|||Por encima de las pasiones |||Primera|||México|Libros de México S.A.|||1968|172|Fotos|
Alonso|Jorge|Juan Manuel Ramírez Sáiz||La democracia de los de abajo en México|||Primera|||México|Desarrollo de medios,S.A de C.V|La democracia de México||1997|347||
Redondo Parra|Josefina|||Apuntes historicos de Tijuana|||Primera|||México||||1988|135||
Teja Zabre|Alfonso|||Dinamica de la historia y frontera interamaricana||||||México|Ediciones Botas|||1947|190||
González-Aréchiga|Bernardo|Rocio Barajas Escamilla|Compiladores|Las maquiladoras: Ajuste estructural y desarrollo regional|||Primera|||México|Fundación Friedrich Ebert|||1989|339||
Alarcón Cantú|Eduardo|||Evolución y Dependencia en el Noreste: las ciudades de Tamaulipas|||Primera|||México|El colegio de la frontera norte|||1990|58||
Gerhard|Peter|||La frontera sureste de la nueva España|||Primera|||México|UNAM|||1991|166||
Millán |Saúl|Julieta Valle|Coordinadores|La comunidad sin límites|||Primera|||México|INAH|||2003|343||
Bartolomé|Miguel A.||Coordinador|Visiones de la diversidad|IV||Primera|||México|INAH|||2005|334|Ilustraciones|
Bartolomé|Miguel A.||Coordinador |Visiones de la diversidad|III||Primera|||México|INAH|||2005|328|Ilustraciones|
Madonado|Braulio|||Terror en el campo|||Segunda|||México||||1963|93|Ilustraciones|
||||Nueva enciclopedia tematia|2||Primera|||México|Editorial Richars, S.A|||1963|567|Ilustraciones y fotos|
||||Nueva enciclopedia tematia|II||Primera|||México|Editorial Richars, S.A|||1963|584|Ilustraciones, fotos y mapas|
||||Nueva enciclopedia tematia|14||Primera|||México|Editorial Richars, S.A|||1963|467||
||||Nueva enciclopedia tematia|9||Primera|||México|Editorial Richars, S.A|||1963|567|Ilustaciones y fotos|
