Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Núm. de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Kenyon|Kathleen M.||Desenterrando a Jericó|||Primera||Trad. por Victor O. Moya|México|Fondo de Cultura Económica|||1966|164 pp.|Ilus - Fts - Mps - Cuad|
Instituto Nacional de Antropología e Historia|||El Valle de Oaxaca. Guía oficial.|||Primera|||México|Instituto Nacional de Antropología e Historia|||1973|63 pp.|Fts - Ilus - Mps|
Palerm|Ángel||Obras hidráulicas prehispanicas en el sistema lacustre del Valle de México|||Primera|||México|Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|||1973|244 pp.|Mps|
Gallegos Ruiz|Roberto|et. al.|Antología de documentos para la historia de la arqueología de Teotihuacán|||Primera|||México|Instituto Nacional de Antropología e Historia|Antologías||1997|674 pp.|Fts - Ilus - Mps|
Blake|Reed H.|Edwin O. Haroldsen|Taxonomía de conceptos de la comunicacón|||Primera||Trad. por Leticia Halperin Donghi|México|Nuevomar|||1977|175 pp.||
León-Portilla|Miguel||Los antiguos mexicanos a través de sus crónicas y cantares|||Primera|||México|Fondo de Cultura Económica|||1961|198 pp.|Ilus|
Paz|Octavio|et. al.|Magia de la risa|||Primera|||México|Secretaría de Educación Pública|SepSetentas|3|1971|77 pp.|Mps - Fts|
Von Hagen|Victor W.||El imperio de los incas|||Primera||Trad. por Mario Bracamonte C.|México|Diana|||1964|261 pp.|Ilus - Fts - Mps - Cuad|
Mora|Jesús|Julio Montané|Apuntes para la arqueología. Introducción al estudio de los concheros.|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de Trabajo|5|1974|40 pp.|Ilus - Mps - Cuad|
Mirambell|Lorena|José L. Lorenzo|Apuntes para la arqueología. Materiales líticos arqueológicos: Generalidades. Consideraciones sobre la industria lítica.|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de Trabajo|4|1974|87 pp.|Ilus - Cuad|
Watson||et. al.|Arqueología teórica|||Primera||Trad. por Eric Martínez Girón, et. al.|México|Instituto Nacional de Antropología e Historia - Columbia University Press|Cuadernos de los Centros|3|1971|50 pp.|Cuad|
González Quintero|Lauro||Apuntes para la arqueología. El pleistoceno de México.|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de Trabajo|2|1974|17 pp.|Ilus - Mps - Cuad|
García-Bárcena G.|Joaquín||Apuntes para la arqueología. Técnicas de fechamiento de interés arqueológico.|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de Trabajo|1|1974|63 pp.||
Caso|Alfonso||The historical value of the mixtec codices|||Primera||Trad. por Charles Wicke|México|||||12pp.||
Instituto Nacional de Estadística, Geografía e Informática|||La mujer en Chiapas|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informática|||1995|135 pp.|Cuad|
Instituto Nacional de Estadística, Geografía e Informática|||La mujer en Oaxaca|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informática|||1995|99 pp.|Cuad|
Braniff Cornejo|Beatriz||La frontera protohistórica pima-ópata en Sonora, México|II||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica||1992|686 pp.|Mps - Cuad - Fts - Ilus|
Braniff Cornejo|Beatriz||La frontera protohistórica pima-ópata en Sonora, México|III||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica||1992|966 pp.|Mps - Cuad - Fts - Ilus|
Rogers|Everett M.|et. al.|La comunicación en las organizaciones|||Primera||Trad. por Alfonso Vasseur Walls|México|Mc Graw Hill|||1980|216 pp.|Cuad|
Basauri|Carlos||La población indígena de México|III||Primera|||México|Secretaría de Educación Pública|||1940|695 pp.|Fts|
Bosch Gimpera|Pedro||Todavía el problema de la cerámica ibérica|||Primera|||México|Universidad Nacional Autónoma de México|Serie Arqueología|2|1958|113 pp.|Ilus - Fts - Cuad|
Caso|Alfonso||Calendario y escritura de las antiguas culturas de Monte Albán|||Primera|||México||||1947|102 pp.|Fts - Ilus|
Herrera Fritot|René||Estudio de las hachas antillanas|||Primera|||Cuba|Comisión Nacional de la Academia de Ciencias|||1964|146 pp.|Ilus - Fts - Cuad - |
Martínez Donjuan|Guadalupe||Las Pilas, Morelos.|||Primera|||México|Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|Colección Científica|75|1979|84 pp.|Mps - Fts - Ilus|
Ruz|Mario Humberto|et. al.|Paisajes domesticados. Imágenes etnográficas de tres micro-regiones quintanarroenses|||Primera|||México|Universidad Nacional Autónoma de México|||2002|348 pp.||
Ceram|C. W.||Dioses, tumbas y sabios|||Primera||Trad. por Manuel Tamayo|México|Compañía Editorial Continental|||1954|431 pp.|Mps - Fts - Ilus - Cuad|
Voorhies|Barbara||La economía del antiguo Soconusco, Chiapas|||Primera||Trad. por Raúl del Moral|México|Universidad Nacional Autónoma de México - Universidad Autónoma de Chiapas|||1991|378 pp.|Mps - Fts - Ilus - Cuad|
Baldivia|José|et. al.|La formación de los periodistas en América Latina.|||Primera|||México|Nueva Imagen - Centro de Estudios Económicos y Sociales del Tercer Mundo|||1981|393 pp.||
Acevedo Conde|María Luisa||Geografía histórica de Oaxaca|||Primera|||México|Gobierno del Estado de Oaxaca|||2002|166 pp.|Mps|
García Jiménez|Jesús||Televisión educativa para América Latina|||Primera|||México|Porrúa|||1970|358 pp.|Cuad|
Goldhaber|Gerald M.||Comunicación organizacional|||Primera||Trad. por José Manuel Balaguer|México|Logos Consorcio Editorial|||1977|423 pp.|Fts - Ilus - Cuad|
Bonifaz Nuño|Rubén||Imagen de Tláloc|||Primera|||México|Universidad Nacional Autónoma de México|Estudios de Arte y Estética|27|1986|187 pp.|Fts - Ilus|
Delgado|Agustín||Pipas de piedra de Cueva Vetada, San Luis Potosí, México|||Primera|||México|Instituto Nacional de Antropología e Historia|Publicaciones|4|1958|31 pp.|Mps - Fts|
Corona Nuñez|José||Tumba de el Arenal, Etzatlán, Jal.|||Primera|||México|Instituto Nacional de Antropología e Historia|Informes|3|1955|35 pp.|Fts - Ilus - Cuad|
García Payon|José||Exploraciones en el Tajín|||Primera|||México|Instituto Nacional de Antropología e Historia|Informes|2|1955|38 pp.|Fts - Ilus|
Castro Mantecón|Javier||Los lunes del cerro|||Primera|||México|"Universidad ""Benito Juárez"" de Oaxaca"|||1969|17 pp.|Fts|
MacNeish|Richard||Restos precerámicos de la cueva de Coxcatlán en el sur de Puebla|||Primera||Trad. Por Noemí Castillo Tejero y Lorena Mirambell|México|Instituto Nacional de Antropología e Historia|Publicaciones|10|1961|29 pp.|Mps  Fts - Ilus - Cuad|
Franco C.|José Luis|Frederick A. Peterson|Motivos decorativos en la cerámica azteca|||Primera|||México|Museo Nacional de Antropología|Serie Científica|5|1957|48 pp.|Ilus - Cuad|
Pérez Ramírez|Mario||Las estelas de Monte Albán|||Primera|||México|"Universidad ""Benito Juárez"" de Oaxaca"|Medicina Precortesiana||1963|12pp.|Ilus - Fts|
Piña Chan|Román||Tlatlico|I||Primera|||México|Instituto Nacional de Antropología e Historia|Investigaciones|1|1958|126 pp.|Mps - Fts - Ilus|
Piña Chan|Román||Tlatlico|II||Primera|||México|Instituto Nacional de Antropología e Historia|Investigaciones|2|1958|48 pp.|Fts - Ilus|
Ferrero|Luis||Costa Rica precolombina|||Primera|||Costa Rica|Editorial Costa Rica|Biblioteca Patria|6|1975|445 pp.|Cuad - Fts - Mps - Ilus|
Cruxent|J.M.|Irving Rouse|Arqueología cronológica de Venezuela|I||Primera|||Washington D.C.|Unión Panamericana|Estudios Monográficos|6|1961|320 pp.|Cuad|
