Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
||||Encuesta nacional de empleo Chiapas|||Primera|||Aguascalientes, Ags.|INEGI|||1996|195|Cuadros|
||||Encuesta nacional de empleo Chiapas|||Primera|||Aguascalientes, Ags.|INEGI|||1997|95|Cuadros|
||||Las plantas medicinales utilizadas por los mayas de los altos de Chiapas|||Primera|2004||San Cristóbal de las Casas, Chiapas.|OMIECH|||2004|40|Ilustraciones|
López Estudillo |Rigoberto|Alicia Hinojosa García||Catálogo de plantas medicinales sonorenses|||Primera|||Hermosillo, Sonora|Universidad de Sonora|||1988|133|Cuadros|
||||Región transístmica|||Primera|||México, D.F|INI|||1995|294|Cuadros y mapa|
||||Sureste|||Primera|||México, D.F|INI|||1995|276|Mapa y Cuadros|
||||Pacífico Sur|||Primera|||México, D.F|INI|||1995|320|Cuadros|
||||Valles centrales|||Primera|||México, D.F|INI|||1995|314|Cuadros y mapa|
||||Nationchild Plumaroja|||Primera||||Toltecas en Aztlán Publications|||1972|[196]|Ilustraciones|
McNickle|D´Arcy|||Las Tribus Indias de los Estados Unidos|||Primera||Trad. Por Susana de Aldecoa|Buenos Aires, Argentina.|EUDEBA|||1965|95|Cuadros|
||||Custer died for your sins|||Primera|||New York, NY.|Avon Books|||1969|272||
||||Grupos Indígenas de Baja California|||Cuarta|||México, D.F|INI|||1977|2|Fotos|2 Folleto
||||Los Chinantecos|||Cuarta|||México, D.F|INI|||1977|2|Fotos, mapa e ilustraciones|1 Folleto
||||Los Mazatecos|||Primera|||México, D.F|INI|||1978|2|Foto, ilustración y mapa|6 Folletos
||||Los Yaquis|||Primera|||México, D.F|INI|||1978|2|Fotos y mapa|4 Folletos
||||Los Tarahumaras|||Primera|||México, D.F|INI|||1978|2|Fotos|1 Folleto
||||Los Lacandones|||Cuarta|||México, D.F|INI|||1977|2|Fotos y mapa|1 Folleto
||||Los mixes|||Primera|||México, D.F|INI|||1973|2|Fotos y mapa|1 Folleto
||||Los Mayos|||Primera|||México, D.F|INI|||1978|2|Fotos y mapa|4 Folletos
