Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
||||Guatemala: País en Guerra|||Primera|||México, D.F|CENSERSOG|||1982-1983|101|Cuadros
Rama |Ángel|||Los dictadores latinoamericanos|||Primera|||México, D.F|Fondo de Cultura Económica|||1976|63|Ilustraciones
Potemkin|V.P|||Historia de la diplomacia|II||Primera|||Mexico, D.F|Editorial Grijalvo|||1967|646|
Potemkin|V.P|||Historia de la diplomacia III|III||Primera|||México, D.F|Editorial Grijalvo|||1968|678|
León|María del Carmen|||Del Katún al siglo. Tiempos de colonialismo y resistencia entre los mayas|||Primera|||México, D.F|CONACULTA|||1992|286|
Quirós|José María|||Guía de negociantes. Compendio de la legislación mercantil de España e Indias|||Primera|||México, D.F|UNAM|||1986|337|
Tabío|Ernesto E.|Estrella Rey||Prehistoria de Cuba|||Primera|||Cuidad de la Habana|Editorial de Ciencias Sociales|||1979|234|Ilustraciones, fotos, planos
Hoernes|Dr. Moritz|||Prehistoria III. La edad del hierro|III||Tercera|1939|Trad. Por Antonio del Castillo|Barcelona, España|Editorial Labor|||1945|184|Ilustraciones
Ripoll Perelló|Eduardo|||Prehistoria e historia del próximo oriente|||Primera|||Barcelona, España|Editorial Labor|Nueva Colección Labor|||266|Ilustraciones y Fotos
Daniel|Glyn|||El concepto de prehistoria|||Primera||Trad. Por Ramiro Sánchez Sanz|Barcelona, España|Editorial Labor|Nueva Colección Labor||1968|163|Fotos
Cole|Sonia|||The neolitic revolution|||Cuarta|||Londres|Trustees of the British Museum|||1967|68|Ilustraciones y Fotos
Delos|J.T|||La nación |I||Primera||Trad. Por Santiago Cunchillos Manterola|Buenos Aires, Argentina|Ediciones Desclée|||1948|152|
Altamira y Crevea|Rafael|||Proceso Histórico de la Historiografía Humana|||Primera|||México, D.F|El Colegio de México|||1948|255|
Miranda |José |||España y Nueva España en la época de Felipe II|||Primera|||México, D.F|UNAM|||1962|131|
Stalin|José|||¿Anarquismo o socialismo?|||Primera|||México, D.F|Editorial Grijalbo|Colección 70||1972|158|
Fernández|Álvarez|||Carlos V, El rey de los encomendados americanos|||Primera|||México, D.F|Ediciones Anaya|||1990|127|Ilustraciones
Capdequí|J.M Ots|||España en América |||Primera|||México, D.F|Fondo de Cultura Económica|||1959|145|
Haring |C.H|||El imperio español en América|||Primera|||México, D.F|Alianza Editorial Mexicana-CONACULTA|||1947|490|
Fals Borda|Orlando|||Ciencia propia y colonialismo intelectual |||Primera|||México, D.F|Editorial Nuestro Tiempo|||1970|138|
Capdequí|J.M Ots|||El Estado español en las Indias|||Primera|1982||México, D.F|Fondo de Cultura Económica|||1941|197|
||||Haciendas y ranchos de Tlaxcala en 1712|||Primera|||México|INAH|||1969|224|Cuadros y fotos
De los ríos |Fernando|||Religión y Estado en la España del siglo XVI|||Primera|||México, D.F|Fondo de Cultura Económica|||1957|198|
Zavala |Silvio A.|||Los intereses particulares en la conquista de la Nueva España|||Segunda|||México, D.F|UNAM|||1964|87|
Miranda|José|||Vida colonial y albores de la independencia|||Primera|||México, D.F|SEP|SepSetentas|56|1972|252|
Arcila Farías|Eduardo|||Reformas económicas del siglo XVIII en Nueva España|||Primera|||México, D.F|SEP|SepSetentas|118|1974|215|
De la Peña|José F.|||Oligarquía y propiedad en Nueva España 1550-1624|||Primera|||México, D.F|Fondo de Cultura Económica|||1983|308|Cuadros
Lavrin|Asunción||Coordinadora|Sexualidad y matrimonio en la América hispánica|||Primera||Trad. Por Gustavo Pelcastro|México, D.F|Editorial Grijalbo|||1991|376|
Velázquez |María del Carmen|||Establecimiento y pérdida del septentrión de Nueva España|||Primera|||México, D.F|El Colegio de México|||1974|260|Mapa
|Rodríguez Gómez|María Guadalupe||Jalpa y San Juan de los Otates|||Primera|||León, Gto.|El Colegio del Bajío|||1984|172|Cuadros y mapas
Boturini Benaduci|Lorenzo|||Idea de una Nueva Historia General de la América Septentrional|||Primera|||México, D.F|Editorial Porrúa|"""Sepan Cuantos…"""|278|1974|157|
Martínez |Hildeberto|||Tepeca en el siglo XVI|||Primera|||México, D.F|CIESAS|Ediciones de la Casa Chata|21|1984|230|Cuadros
Bauer|A.J|||La iglesia en la economía de América Latina siglos XVI al XIX|||Primera|||México, D.F|INAH|Colección Biblioteca INAH||1986|499|Cuadros
||||Lecturas históricas de Oaxaca|||Primera|||México, D.F|INAH|Colección Regiones de México||1986|205|Cuadros
||||Historia de la revolución de Nueva España|||Primera|||México, D.F|EUFESA|||1981|324|
||||Compendio de la historia del Reino de Guatemala|||Primera|||Guatemala|Editorial Piedra Santa|||1981|408|
Fisher|J.R|||Government and society in Colonial Perú|||Primera|||Londres|The Athlone Press|||1970|289|
Mencos Franco|Agustín|||Crónicas de la Antigua Guatemala|||Séptima|||Guatemala|Editorial Piedra Santa|||1980|113|Ilustraciones
Martínez del Río|Pablo|||Los Orígenes Americanos|||Tercera|||México|Editorial Siglo XXI|||1952|451|Cuadros e Ilustraciones
Konstantinov|F.V|||El materialismo histórico|||Primera|1960||México, D.F|Editorial Grijalbo|||1960|446|
García de León|Antonio|||Contra viento y marea|||Primera|||México, D.F|Random House Mondadori|||2004|206|Ilustraciones y Cuadros
Santiago Cruz|Francisco|||Las artes y los gremios en la Nueva España|||Primera|||México, D.F|Editorial Jus|||1960|141|Ilustraciones
Amerlinck|María Concepción|||Las catedrales de Santiago de los caballeros de Guatemala|||Primera|||México, D.F|UNAM|||1981|199|Fotos
Carrillo y Gariel|Abelardo|||Ixmiquilpan|||Primera|||México, D.F|INAH|||1961|49|Fotos
Trabulse|Elías|||Fluctuaciones económicas en Oaxaca durante el siglo XVIII|||Primera|||México, D.F|El Colegio de México|||1979|112|Cuadros
Castillo|Isidro|||Don Vasco de Quiroga y los hospitales pueblos|||Primera|||México, D.F|SEP|||1968|109|
Von Wobeser|Gisela|||San Carlos Borromeo|||Primera|||México, D.F|UNAM|||1980|134|Fotos
Calvo|Thomas|||La Nueva Galicia en los siglos XVI y XVII|||Primera|||México, D.F|CIESAS-El Colegio de Jalisco|||1989|199|Cuadros
Rees Jones|Ricardo|||El despotismo ilustrado y los intendentes de la Nueva España|||Primera|||México, D.F|UNAM|||1979|401|
Taylor |William B.|||Landlord and peasant in colonial Oaxaca|||Primera|||Stanford, California.|Stanford University Press|||1972|287|Cuadros
Romero Frizzi|María de los Ángeles|||La industria textil novohispana|||Primera|||México, D.F|INAH|||1972|181|Cuadros
Rossell|Cecilia|||Cartascentas, la real hacienda en Nueva España: 1557|||Primera|||México, D.F|CIESAS|Cuadernos de la Casa Chata||1984|302|Ilustraciones
||||El primer soldado llegó a Chamula|||Primera|||San Cristóbal de las Casas, Chiapas|SEP|||1988|27|Ilustraciones
