Apellidos de autor|Nombre de autor|Segundo autor, nombre y apellidos|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número| Año|Núm de páginas|Ilustraciones, fotos, cuadros, mapas|Cantidad
Guerra-Cunningham|Lucia |||Mujer y sociedad en América Latina|||Primera||||Editorial Del Pacífico|||1980|261||
Piaget|Jean|||Estudios Sociológicos|||Primera|||España|Editorial Ariel, S.A|||1983|236||
Bajítov|M. Sch.|||El capitalismo actual y la sociologia burgesa|||Primera|||Colombia|Ediciones Suramérica LTDA|||1966|332||
Diegues Junior |Manuel|||Introducción a la sociología regional |||Primera||Carlos H. Alba|México |Instituto de Investigaciones Sociales Universidad Nacional ||||190||
Nolasco|Margarita|||Café y sociedad en México|||Primera|||México |Centro de Ecodesarrollo|||1985|454|Mapas y cuadros|
Garduño |Everardo|Efraín Garcia, Patricia Morán||Mixtecos en baja california en el caso de san quintín|||Primera|||México |Universidad Autónoma de Baja California|||1989|293|Fotos, mapas y cuadros|
Minian|Isaac|||Progreso técnico e internacionalización del proceso productivo |||Primera|||México |CIDE||||133|Cuadros|
Cerutti|Mario|||Burguesía y capitalismo en Monterrey 1850-1910|||Primera|||México |Claves Latinoamericanas |||1983|214||
||||Magnitud y Evolución de la pobreza en México 1984-1992|||Primera|||México |INEGI|||1993|286|Cuadros|
Chinoy|Ely|||Introducción a la sociología |||Primera||Darío Julio Cartón|Argentina|Editorial Pairos|||1972|119||
Von Martin|Alfred|||Sociología del renacimiento |||Segunda||Manuel Pedroso|México |Fondo de Cultura Económica|||1962|132||
González |José María|||Del artesno al socialismo|||Primera|||México |SEP|||1974|180||
Bourdieu|Pierre|||Cuestiones de sociología|||Segunda||Enrique Martín Criado|España|Ediciones Istmo, S.A.|Fundamentos ||2003|272||
Abraham|J.H.|||Sociology-A historical and contemporary outline|||Segunda|||Gran Bretaña||||1975|247||
Trajtenberg|Raúl|||Transnacionales y fuerza de trabajo en la periferia |||Primera|||México |Instituto Latinoamericano de Estudios Transnacionales |||1978|59||
Gallo F.|Covadonga |||Los rostros políticos de la formación nacional 1810-1910|||Primera|||México |Museo Nacional De Historia ||||30||
De Feo|Nicola|||Weber-Lukács Ideología-Dialéctica |||Primera|||Barcelona|a. redondo, editor|||1972|250||
||||Monumentos Históricos Inmuebles|I||Primera|||México |SEP-INAH|||1986|794|Fotos, mapas y cuadros|
Escobar Ohmstede|Antonio |Teresa Rojas Rabiela|Coordinadores |La presencia del indígena en la prensa capiltalina del siglo XIX|||Primera|||México |INI-CIESAS|Catálogo de noticias |IV|1993|458||
||||El capitalismo del centavo Una economia indigena de Guatemala|1||Primera|||Guatemala|Centro Editorial Jose de Pineda Ibarra|||1964|303|Mapas y cuadros|
Rubial García |Antonio |||Una monarquía criolla (La provincia agustina en el siglo XVIII)|||Primera|||México |Conaculta |||1990|189||
Escobar Ohmstede|Antonio |||La presencia del indígena en la prensa capiltalina del siglo XIX|||Primera|||México |INI-CIESAS|Catálogo de noticias |III|1992|293||
Fernández de Velasco|Manuel|||Relaciones España-Estados Unidos y mutilaciones territoriales en Latinoamerica|||Primera|||México |UNAM|||1982|200||
Vázquez de Knauth|Josefina Zoraida|||Anglia- anuario estudios angloamericanos |||Primera|||México |UNAM|||1968|212||
Vázquez de Knauth|Josefina Zoraida|||Anglia- anuario estudios angloamericanos |||Primera|||México |UNAM||2|1969|206||
Vázquez de Knauth|Josefina Zoraida|||Anglia- anuario estudios angloamericanos |||Primera|||México |UNAM||3|1970|190||
Vázquez de Knauth|Josefina Zoraida|||Anglia- anuario estudios angloamericanos |||Primera|||México |UNAM||4|1971|219||
Vázquez de Knauth|Josefina Zoraida|||Anglia- anuario estudios angloamericanos |||Primera|||México |UNAM||5|1973|226||
||||V.I. Obras escogidas |1||Primera||Editorial Progreso|Rusia |Editorial Progreso|||1979|903||
||||V.I. Obras escogidas |2||Primera||Editorial Progreso|Rusia |Editorial Progreso|||1979|851||
||||V.I. Obras escogidas |3||Primera||Editorial Progreso|Rusia |Editorial Progreso|||1979|888||
Woddis|Jack|||Africa las raíces de su rebelión|||Primera||Floreal Mazia|Argentina|Editorial Platina|||1961|279|Mapas y cuadros|
Wendt|Herbert|||Comtinente rojo, blanco y negro|||Primera||Mariano Orta Manzano|España|Ediciones Toray, S.A.|||1967|548||
Castañeda |Jorge G.|||La herencia|||Primera|1999||México |Extra Alfaguara|||1999|550|Fotos|
Aziz Nassif|Alberto|||Territorios de alternancia |||Primera|||México |Triana editores - Ciesas|||1996|216||
||||Resumen general- XI censo general de la población y vivienda, 1990|||Primera|||México |INEGI|||1992|770||
||||Estadísticas Históricas de México|1||Primera|||México |INEGI|||1986|490|Cuadros|
||||Resultados definitivos tabulados basicos|||Primera|||México |INEGI|||1997|569|Cuadros|
Dávila Garibi |Graciela Anaya||Coordinación editorial |Estado del desarrollo económico y social de los pueblos indígenas de México|1||Primera|||México |INI|||2000|550|Mapas y cuadros|
||||Hablantes de lengua Indígena XI censo general de pablación y vivienda, 1990|||Primera|||México |INEGI|||1993|516|Cuadros|
||||Estadísticas Históricas de México|II||Primera|||México |INEGI|||1985|864|Mapas y cuadros|
