Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Editores|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Simmen|Edward|||Pain and Promise||||||USA|Edward Simmen|||1972|348||1
Pike|Royston|||Diccionario de Religiones|||Primera|||México|FCE|||1960|426||1
Hagen|Everett E.|||On the theory of social change|||Third|||USA|Massachusetts Institute of Technology|||1962|557||1
Giménez|Gilberto|||Sectas religiosas en el sureste|||Primera|||México|CIESAS|||1988|56||
Guzman|Eulalia|||Moxtezuma Xocoyotzin|||||||||||25||1
Wagley|Charles|||Amazon Town|||First|||New York|Charles Wagley|||1964|311||1
García|Ruben|||Itzcoatl||||||México||||1951|153||1
Schwindetzky|Ilse|||Etnobiologia|||Primera|||México|FCE|||1955|441||1
Esquivel|Laura|||Como agua para chocolate||||Tercera||México|Planeta Mexicana, Laura Esquivel|||1989|244||1
Anguera|A. Oriol|||Antropologia del miedo|||||||Costa- Amic|||1974|119||1
Leach|Edmund|||Claude Lévi-Strauss||||||USA|Edmund Leach|||1970|142||1
Mead|Margaret|||Cultural Patterns and Technical Change|||Sixth Printing|||USA|United Nations Educational, Scientific and Cultural Organization|||1955|352||1
Glucksmann|André|||Althusser: unstructuralismo ventrílocuo||||||Colombia|Ediciciones tiempo crítico||||72||1
Lienhardt|Godfrey|||Antropologia Social|||||Demetrio Aguilera Malta||FCE|||1966|278||1
Lefebvre|Henri|||Sociologia de Marx|||||||Presses Universitaires de France|||1966|183||1
Mead|Margaret|||Male and Female||||||USA|Margaret Mead|||1955|352||1
||||Reunion Nacional sobre Fecundidad y Familia||||||México|CONAPO|||1984|228||1
||||Anuario 1997||||||Chiapas, México.|Gobierno del Estado de Chiapas, Universidad de Ciencias y Artes del Estado de Chiapas|||1998|476||1
Spuhler|J. N.|||The Evolution of man´s capacity for culture|||||||Wayne State University Press|||1959|79||1
Lévi- Stratuss|Claude|||Anthropologie|||||||Librairie|||1958|447||1
Sheler|Max|||Sociología del saber|||Primera||José Gaos||Revista de Occidente Argentina|||1947|215||1
||||Indianidad, etnocidio, indigenismo en América Latina|||Primera||Ana Freyre de Zavala|México|Instituto Indigenista Interamericano|||1988|354||1
Mallorquin|Carlos|||¿Metodologia o ciencia social?||||||Paraguay|Universidad Popular de Estudios Politicos/ Cuadernos Republicanos|||1996|109||1
Goody|Jack|||Comparative Studies in Kinship|||First|||London|Jack Goody|||1969|261||1
Fox|Robin|||Sistemas de parentesco y matrimonio||||||España|Alianza Editorial|||1967|253||1
Bravo|Víctor|Héctor Díaz- Polanco||Teoria y realidad en Marx, Durkheim y Weber|||Octava |||México|Juan Pablos Editor|||1979|159||1
Fernández Poncela|Anna M|Liliana Venegas Aguilera||La flor más bella del ejido|||Primera|||México|INAH/ Plaza y Valdés|||2002|202||1
Redfield|Robert|||The little community, peasant society and culture||||||USA|The University of Chicago Press|||1995|92||1
Murdock|G. P.|||Nuestros contemporáneos primitivos|||Segunda|||México|FCE|||1956|492||1
Tello Díaz|Carlos|||La rebelión de las Cañadas|||Primera|||México|Carlos Tello Díaz/ Aguilar, León y Cal Editores|||1995|247||1
De Landa|Fray Diego|||Relación de las cosas de Yucatán|||Octava|||México|Porrua|||1959|252||1
||||Inroducción a la paleografía|||Tercer tiraje|||México|Archivo General de la Nación|||1981|109||1
|||Shannan L. Mattiace, Rosalva Aida Hernández y Jan Rus|Tierra, libertad y autonomía: impactos regionales del zapatismo en Chiapas|||||||CIESAS/ IWGIA|||2002|441||1
Oliveros Morales|José Arturo|||El Colegio de Michoacán||||||México|El Colegio de Michoacán/ INAH|||2006|272||
López González|Aralia|Amelia Malagamba y Elena Urrutia||Mujer y literatura mexicana y chicana|||Primera|||México|El Colegio de México|||1990|315||1
Siverts|Henning|||oxchuc, una tribu maya de México|||Primera||Vitza Manrique de Langseth||Instituto Indigenista Interamericano|||1969|214||1
|||Antonio Gómez Hernández y Mario Humberto Ruz|Memoria Baldía|||Primera|||Chiapas, México.|UNAM|||1992|404||1
González Echevarría|Aurora|||La construcción teórica en antropología|||Primera|||España|Anthropos Editorial del hombre|||1987|294||1
Duch|Lluís|||Mito, interpretación y cultura|||||Francesca Babí i Poca/ Domingo Cía Lamna|España|Herder|||1998|542||1
Ribeiro|Darcy|||El dilema de América latina|||Primera|||México|Siglo XXI|||1971|358||1
Gómez- Quiñones|Juan|Luis Leobardo Arroyo||Origenes del movimiento obrero chicano|||Primera||Isabel Fraire|México|Era|||1978|297||1
Rumney|Jay|Joseph Maier||Sociologia|||Segunda||Eduardo Loedel|Argentina|Paidos|||1957|243||1
||||Protection et animation culturelle des monuments, sites et villes historiques en Europe||||||Imprimé en République fédérale d´Allemagne|UNESCO- Kommission|||1980|402||1
Foster|George M.|||Tzintzuntzan|||Primera||Porfirio Martínez Peñaloza|México|FCE|||1972|366||1
Dow|James W.|||Santos y superticiones|||||Antonieta S. M. de Hope|México, D.F.|INI|||1974|281||1
Ember|Carol R.|Melvin Ember|Juan Stumpf|Antropología cultural|||Octava||Daniel Candel, Esperanza Cerdá, Carlos Gancedo, Miguel García López, Ana Halbach|España|Prentice Hall|||1997|491||1
|||Silvia Trejo|La guerra entre los antiguos mayas|||Primera|||México|INAH|||2000|324||1
