Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Titulo del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
V.I.|Lenin||Lenin acerca de la religión|||Primera|||Rusia|Editorial Progreso|||X|77 pp.||
Gamal El Din El-Fandy|Mohammed||Why I am a believer|||Primera||Trad. por Taha Omar||The Supreme Council for Islamic Affairs|||X|237 pp.||
|Instituto Nacional Indigenista||Catálogo general de publicaciones|||Primera|||México|Instituto Nacional Indigenista|||1996|319 pp.||
|Delegación Sindical del Personal Académico del Instituto Nacional de Antropología e Historia||Análisis general de la iniciativa de ley general del patrimonio cultural de la nación|||Primera|||México|Instituto Nacional de Antropología e Historia|||1999|12 pp.||
|Centro Regional de Investigaciones Multidisciplinarias||Catálogo de publicaciones|||6a.|||México|Universidad Nacional Autónoma de México|||2004|63 pp.|Fts|
Cardiel|José||Las misiones del Paraguay|||Primera|||España|Historia 16|||1988|204 pp.|Fts|
|Editoriales Mexicanas||Baja California, Baja California sur, Sonora y Sinaloa|||Primera|||México|Editoriales Mexicanas/Editorial Patria|Guía Turística, Histórica y Geográfica de México |1|1991|231 pp.|Fts - Mps|
Garma Navarro|Carlos||Protestantismo en una comunidad totonaca de Puebla, México|||Primera|||México|Instituto Nacional Indigenista|Antropología Social |76|1987|185 pp.||
|Coordinacion Nacional de Planificacion Familiar||La espuma y el preservativo|||Primera|||México|Coordinacion Nacional de Planificacion Familiar|||X|12 pp.|Ilus|
|Coordinacion Nacional de Planificacion Familiar||La familia y la planificacion familiar|||Primera|||México|Coordinacion Nacional de Planificacion Familiar|||X|12 pp.|Ilus|
|Fundación para Estudios de la Población FEPAC||Nos vamos a casar…|||Primera|||México|Fundación para Estudios de la Población|||X|X|Ilus|
|Secretaria de Educacion Publica||El juego|||Primera|||México|Secretaria de Educacion Publica|||1982|X|Ilus|
|Coordinacion Nacional de Planificación Familiar||Métodos de planificación familiar|||Primera|||México|Coordinacion Nacional de Planificacion Familiar|||X|X|Ilus|
|Dirección general de asuntos ecológicos||Banco de información bibliográfica los recursos naturales de Veracruz|II||Primera|||México|Dirección General de Asuntos Ecológicos|||1980|X||
Montañes|Carlos|Arturo Warman|Los productores de maíz en México: restricciones y alternativas|||Primera|||México|Centro de Ecodesarrollo|||1985|226 pp.|Cuad|
Martinez Rios|Jorge||Bibliografía antropológica y sociológica del estado de Oaxaca|||Primera|||México|Instituto de Investigaciones Sociales de la Universidad Nacional Autónoma de México|||1961|154 pp.||
Guzmán Monroy |Virginia||"Catálogo de la colección ""Goméz de Orozco"" del archivo histórico de la biblioteca nacional de antropología e historia"|II||Primera|||México|Instituto Nacional de Antropología e Historia|||2001|327 pp.||
Guzmán Monroy |Virginia||"Catálogo de la colección ""Goméz de Orozco"" del archivo histórico de la biblioteca nacional de antropología e historia"|I||Primera|||México|Instituto Nacional de Antropología e Historia|||2000|724 pp.||
|Instituto Lingüístico de Verano||Diccionario castellano - chatino   chatino - castellano|||Primera|||México|Instituto Lingüístico de Verano|||1970|103 pp.|Ilus - Mps|
Aguirre Baztán|Ángel||Diccionario temático de antropología|||Primera|||España|Editorial Boixareu Universitaria|Serie de Antropología|12|1993|663 pp.||
Caro Baroja|Julio||El señor inquisidor y otras vidas por oficio|||Primera|||España|Alianza Editorial|||1968|197 pp.||
|Centro Francés de Estudios Mexicanos y Centroamericanos||Apostólico afanes de la compañía de Jesús en su provincia de México|||Primera|||México|Centro Francés de Estudios Mexicanos y Centroamericanos/Instituto Nacional Indigenista|||1996|452 pp.|Ilus - Mps|
Santos Hernández|Ángel||Los jesuitas en América|||Primera|||España|Angel Santos Hernández/Fundacion MAPFRE|Iglesia Católica en todo el mundo||1992|381 pp.|Fts - Mps|
Aviña Levy|Edmundo||Proceso criminal del santo oficio de la inquisicion y del fiscal en su nombre contra Don Carlos, indio principal de Tezcuco proceso inquisitorial del cacique de Tetzcoco|||Primera|||México|Facsimile|||1968|89 pp.||
Pacheco Martinez|Edgar René||Catálogo de la biblioteca del seminario de Morelia, Michoacán letra N|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|93 pp.||
Perez Perez|Ana Débora|Maria de Lourdes Garcia Valente|Catálogo de la biblioteca del seminario de Morelia, Michoacán letra A|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|149 pp.||
Jaime Moreno|Jaime||Catálogo de la biblioteca del seminario de Morelia, Michoacán letra E|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|79 pp.||
Hernández Mercado|Guadalupe|Cecilia Jaime González|Catálogo de la biblioteca del seminario de Morelia, Michoacán letra F|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|119 pp.||
Conde Reyes|Marcela Concepción|Rita Lilia García Cerezo|Catálogo de la biblioteca del seminario de Morelia, Michoacán letra D|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|119 pp.||
Carreño Velázquez|Elvia||Catálogo de la biblioteca del convento grande de San Francisco de la Ciudad de México, IV|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|115 pp.||
Carreño Velázquez|Elvia||Catálogo de la biblioteca del convento grande de San Francisco de la Ciudad de México, V|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|147 pp.||
Granados Rangel|Jesús|Horacio Hernández Vega et. al. |Catalogo de la biblioteca del convento de la Merced de la Ciudad de México, I|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|111 pp.||
Guevara Bravo |Carmen||Catalogo de la biblioteca del convento de San Sebastián de la Ciudad de México (I)|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1991|79 pp.||
Morales Peláex|Ariadna||Catalogo de la biblioteca del colegio de San Fernando de la Ciudad de México (II)|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1991|77 pp.||
Segura Martinez |Salvia Carmen||Catalogo de la biblioteca del convento grande de San Francisco de la Ciudad de México III|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1991|101 pp.||
