Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección/Tema|Edición|Tomo|Colección|Imprenta|Palabras Clave|Referencias|
Aragón B. Eliseo||Toponimias en lengua Náhuatl del Estado de Morelos|México|Eliseo Aragón Rebolledo / Octavio Novaro|1969|102|6.5x9 pulg|Historia de Morelos|Primera|||Editorial Herrera|Toponimias, nahuatl, lengua, jeroglíficos, prehispánicos, códices|La presente obra responde al propósito de facilitar, por medio de la explicaciòn etimológica de los nombres inígenas, el conocimiento de las características que son propias de diversas poblaciones y lugares de la entidad morelense.|
Arenas Francisco Javier||Mariano Matamoros Brazo derecho del heroismo|México|Editorial AUM|1974|48|5x8 pulg|Historia de Morelos|Primera|||Publicidad Editora|Heroismo, insurgente, epopeya, generalísimo, Jantetelco|Don Mariano Matamoros, el gran insurgente, se forma en esa injusta paz insoportable de casi trescientos años de edad media colonial, en esta Nueva España.|
Besso Humberto-González Oberto||Tepozteco guía oficial|México|Instituto Nacional de Antropología e Historia|1980|51|5x7.5 pulg|Historia de Morelos||||Instituto Nacional de Antropología e Historia|Localización, antecedentes, mitología, jeroglífica, épocas, prehispánica, Tepoztecatl|En este poblado perteneciente al Estado de Morelos, ademas de sus exitantes escenarios, cuenta con una zona arqueológica de inigualable particularidad en lo alto del cerro Ehecatepetl y un viejo convento dominicano del siglo XVI. |
Blasio José Luis||Maximiliano Íntimo |México|Librería de la Vda de C. Bouret|1905|478|7.5x5.5 pulg|Historia de Morelos||I|||Maximiliano, emperador, memorias, hacienda, puebla, chapultepec, pachuca, decreto, carlota, cuernavaca, emperatriz, veracruz, puebla, queretaro, general, coronel|El emperador Maximiliano y su corte Memorias de un secretario particular|
Casarrubias Vicente C.||Huaxtepec Colonia de recreación juvenil|México|Ricardo Cortés Tamayo|1961|37|6.5x9 pulg|Historia de Morelos||||Impresora Galve, S.A.|Ubicación, colonia, concurrencia, patronatos, templo, convento, pintura |La villa de Huaxtepec en el Estado de Morelos asiento de uno de los señorìos tlahuicas en pretèritos tiempos es uno de los sitios más bellos de esa heroica entidad|
Castañeda L. Gualberto||El Estado de Morelos geografía escolar y de información|Cuernavaca|UAEM|1969|124|6.5x8.5 pulg|Historia de Morelos||||Talleres gráficos de la Universidad Autónoma del Estado de Morelos|Geografía, clima, orografía, geología, hidrografía, producción, población, aducación, comunicaciones, gobierno|Geografía escolar y de información del Estado de Morelos|
Castañeda Linares Gualberto||Estudio geográfico del municipio de Cuernavaca Morelos|Cuernavaca||1959|87|6x8.5 pulg|Historia de Morelos||||Imprenta universitaria|Localización, limites, extensión, antecedentes, conquista, colonial, independencia, revolución, geológico, morfológica, edafológica, clima, hidrografía, vegetación, población, agricultura, ganadería, industria, turismo, comercio, gobierno, educación, comunicaciones  |La división territorial fue ajustandose muy lentamente durante la época colonial en función de necesidades económico-politicas y de esta suerte el Estado de Morelos no se conocía como tal a mediados del siglo pasado.|
Chavez Orozco Luis||El sitio de Cuautla|México|Costa Amic |1962|170|5.5x7.5 pulg|Historia de Morelos|Segunda|||Costa Amic |Sitio, Cuautla, general, cuartel, escuadrones, batallón, infantería, plaza, hacienda, guerrillas, caballería|En la historia de las luchas del pueblo mexicano por conquistar su Independencia, el Sitio de Cuautla constituye uno de los capítulos más brillantes, es en este libro bien documentado, donde con mayores detalles, en forma ágil y evocación fervorosa, se describen los episodios de tan admirable hecho de armas.|
Chavez Orozco Luis||El sitio de Cuautla suplemento literario encuadernable escrito especialmente para resumen||||200|5.5x7.5 pulg|Historia de Morelos||||||La epopeya de la Guerra de Independencia|
Davila José María||Yo también fui revolucionario|Rio de Janeiro|Irmaos pongetti editores||241|5x7.5 pulg|Historia de Morelos|||||Revolucionario, guerra, zapata, plagio, fuga|Relato semiverídico e inverecundo|
De la Parra Gonzalo||De como se hizo revolvcionario vn hombre de bvena Fe|México||1915|195|6x8 pulg|Historia de Morelos|||||Epitafio, duque, filiación, politica, máquina, Villa, coroneles, barbarie, justicia, triunfo, magistrados, jueces, libertad, zapatistas, feudal, reaccionarios, Carranza|Este no es un libro.Este es un volumen en el cual unos cuantos artículos míos trazan a pesar de las vastas lagunas y de los luengos paréntesis de silencio la linea, la órbita, la ruta seguida por el pensamiento de un muchacho sincero a través de los hombres y los acontecimientos.|
De María y Campos Armando ||Matamoros Teniente General Insurgente|México|Editorial Jus, S.A.|1964|136|6.5x9 pulg|Historia de Morelos|Primera||México Heroico|Talleres de la Editorial Jus, S.A.|Emperador, caudillos, Independencia, monumento, Matamoros, Morelos, Izúcar, insurgentes, cuartel, fortín, Bustamante, batalla, realistas, proceso, exhumación|Biografía de Mariano Matamoros, teniente y general insurgente|
De Paul San Vicente||Decima carta pastoral del Ilmo. Y Rmo. Sr. Obispo de Cuernavaca,  referente a las asociaciones de caridad de San Vicente de Paul en la diócesi|Cuernavaca||1897|6|6x8 pulg|Historia de Morelos||||Luis G. Miranda|Carta, pastoral, obispo, caridad, diocesi, episcopal|Asociaciones de caridad|
Diez Domingo||Bosquejo histórico geográfico de Morelos|Cuernavaca, Mor.|Editorial Tlahuica|1967|188||Historia de Morelos|Segunda|||Imprenta Tlahuica|Geografía, Morelos, orografía, límites, territoriales, hidrografìa, climas, agricultura, carreteras, ferrocarriles, población, historia, gobierno, creación|Estudios históricos y bibliográficos sobre el Estado de Morelos |
Díez Domingo||El cultivo e industria de la caña de azucar|México||1919|137|6.5x9 pulg|Historia de Morelos||||Victoria|Azucar, cultivo, caña, azucarera, botanicas, agrícolas, climatéricas, aguas, abanamientos, Puente de Ixtla, Amacuzac, Tlaltenango, Abonos, Cañavereros, Campos, Fertilidad, Surcada, Riegos, Mieles, Alcoholes, Patología, Riego, Enfermedades, Industria, Terrenos, Lluvias, Drenaje, Puebla, Caldera, Herramienta, Zacatepec, Exportaciones, Mascabado |El cultivo extensivo de la caña de azúcar y el notable desarrollo de la industria azucarera|
Diez Domingo ||Bibliografía del Estado de Morelos|México|Secretaría de Relaciones exteriores|1933|427|6x7.5 pulg|Historia de Morelos||||Imprenta de la Secretaría de Relaciones exteriores|Crónicas, monografías, almanaques, albunes, periódicos, manuscritos, ciencias, arqueología, geografía, estadística, agricultura, industria, comercio, leyes, decretos, reglamentos, memorias, informes, sociales, artes, archivo|Bosquejo geográfico e histórico del Estado de Morelos|
Dromundo Baltasar||Quince años de Emiliano Zapata 1919-1934|México|Publicaciones de la Dirección General de Acción Cívica del Departamento del Distrito Federal |1934|10|6.5x8.5 pulg|Historia de Morelos|||||Zapata, Revolución, Ayala, Tierras, libertad, caudillo|Hoy, a los quice años de su muerte que dejó un hueco insustituible entre las filas revolucionarias de los indios, comprendemos todos los que hemos crecido en su devoción, que era Zapata, nuestro grande, nuestro íntegro General Zapata.|
Dubernard Chauveau Juan||Apuntes para la historia de Tepoztán|Cuernavaca||1983|162|8.5x6 pulg|Historia de Morelos||||Talleres gráficos de impresores de Morelos S.A. |Tepoztlán, orígen, moradores, tepoztecalli, calamatlan, dioses, pulque, tepoztecatl, cultural, barrios, convento, teopanco, grutas, colonial|En el ambiente natural extraordinario de un valle, cerros, rocas y exhuberante vegetación, lugar donde han florecido y perduran varias formas de cultura, es donde se yergue Tepoztlán.|
Estrada Cajigal Adriana||Tlayacapan|Cuernavaca||1986|40|6x8 pulg|Historia de Morelos||||Talleres gráficos de impresores de Morelos S.A. |Habitantes, capillas, barrios, convento, iglesia, colonial, edificios, independiente, municipio, minería, agricultura, ganadería, fiestas, exposiciones|Tlayacapan es un lugar de clima y ubicación privilegiados, el pueblo se encuentra situado en la entrada del paso más fácil desde el sur, al valle de México sobre la cordillera del Ajusco, cuenta con algunos manantiales, estaba cerca del bosque y tiene tierra laborable, por lo tanto esta región estuvo poblada desde tiempos prehistóricos.|
Estrada Pedro||Nociones estadísticas del Estado de Morelos|Cuernavaca|Horizonte|1887|108|5.5x7.5 pulg|Historia de Morelos||||Aurelio Flores|Ereccion, situación, limites, geográficos, orográfico, hidrográfico, clima, producciones, mineral, agrícultura, plantas, pecuaria, ganado, gobierno, administración, idiomas, poblaciones, monumentos, carreteras, oficinas, comunicación, municipios, histórica|El Estado de Morelos se erigió por decreto de 16 de abril de 1869 expedido por el congreso de la Unión, formándose de la porcion de territorio que se conocia por el 3er Distrito militar del antiguo Estado de México, y creado por decreto de 7 de junio de 1862.|
Gómez de Orozco Federico||El convento Franciscano de Cuernavaca|México|Centro de Estudios Franciscanos|1943|98|6.5x9 pulg|Historia de Morelos||||Centro de Estudios Historicos Franciscanos|Convento, franciscanos, conquista, evangelización, iglesia, asunción, seráfica|Monografía Historica del Convento e Iglesia Franciscanos de Cuernavaca|
